solvent_id,name_cosmobase,name_biosteam,cas,bp,th,price,EVOH-RT,EVOH-TH,LDPE-RT,LDPE-TH,PET-RT,PET-TH,PP-RT,PP-TH,PS-RT,PS-TH,PVC-RT,PVC-TH,N6-RT,N6-TH,N66-RT,N66-TH,PC-RT,PC-TH,HDPE-RT,HDPE-TH
0,methanol,methanol,67-56-1,64.6,63.6,524,0.019638,0.835944,0.0046388,0.126187,5.77E-06,0.000866969,0.0120756,0.101574,0.0019558,0.0377158,0.0993088,0.806893,0.0156831,0.251037,0.0063237,0.108351,6.85E-06,0.00067371,4.01E-05,0.00756184
1,ch2cl2,ch2cl2,75-09-2,40,39,840,0.000326203,0.00238234,0.0194024,0.0702077,0.331982,0.815363,0.234714,0.533229,4.62424,8.45342,2.70167,4.61247,0.858131,1.69228,0.238529,0.512779,3.18919,6.00027,0.000167638,0.00129279
2,glycol,glycol,107-21-1,197.3,120,559,0.00341365,10.6063,0.000494141,0.937348,4.76E-08,0.00425702,0.000363708,0.0803602,8.82E-06,0.0197134,0.0120086,1.58107,0.00091578,0.403629,0.000336095,0.169559,5.83E-09,0.000559266,4.27E-06,0.470595
3,propanone,propanone,67-64-1,56,55,1140,0.0103445,0.225191,0.0277689,0.336457,0.0677364,0.745048,0.318495,1.3657,9.16065,21.3194,10.871,19.8281,0.0145867,0.185387,0.00755658,0.0923072,3.52511,12.3303,0.000240082,0.0136234
4,2-propanol,2-propanol,67-63-0,82.3,81.3,1360,0.00714268,1.36842,0.0186895,1.63348,1.92E-05,0.0187989,0.14455,2.33005,0.0211934,1.20697,0.152234,2.923,0.0178774,0.983724,0.00786748,0.431013,0.000105492,0.0531429,0.000161557,0.203064
5,propanol,propanol,71-23-8,97.2,96.2,1520,0.00696417,4.11561,0.0176282,4.22102,1.96E-05,0.0839479,0.131457,4.07252,0.0188373,2.78339,0.145981,5.43392,0.0240765,2.56751,0.0104503,1.134,9.57E-05,0.199187,0.000152385,0.907509
6,toluene,toluene,108-88-3,110.6,109.6,1312,2.25E-06,0.263178,0.0540295,22.5646,0.00299708,2.53994,1.05658,30.853,3.64244,40.9649,0.709343,14.806,0.001341,1.34438,0.000281031,0.364255,0.266044,19.2689,0.0004669,7.62736
7,chcl3,chcl3,67-66-3,61.1,60.1,556,0.000734664,0.0321468,0.0307294,0.553461,0.216919,0.98853,0.54303,3.09457,2.26768,9.76203,1.07957,4.21308,4.39243,6.22446,1.91826,2.88226,1.01007,4.46372,0.000265461,0.0280339
8,thf,Tetrahydrofuran,109-99-9,65,64,2775,0.0524046,0.916639,0.081061,1.70413,0.0379389,0.810312,1.98756,10.0874,13.9636,31.2636,8.89913,19.112,0.0214748,0.428894,0.0121449,0.214658,3.91397,16.2522,0.000700821,0.103944
9,thp,Tetrahydropyran,142-68-7,88,87,18800,0.00779213,1.10972,0.0804967,7.33539,0.00516292,0.762566,2.03579,20.9306,7.1863,33.677,3.87663,17.851,0.0064247,0.723214,0.00323971,0.302043,0.644438,13.3432,0.000695904,1.15546
