Solvent,Temperature (°C),Solubility (%),Polymer
propanol,160,99.9954608,HDPE
propanol,155,99.98915941,HDPE
propanol,150,99.97519755,HDPE
propanol,145,99.9998018,HDPE
propanol,140,99.99923705,HDPE
propanol,135,64.29634016,HDPE
propanol,130,30.30557927,HDPE
propanol,125,16.45985162,HDPE
propanol,120,9.50694958,HDPE
propanol,115,5.62129785,HDPE
propanol,110,3.34797715,HDPE
propanol,105,1.99187678,HDPE
propanol,100,1.17806309,HDPE
propanol,95,0.69050098,HDPE
propanol,90,0.4002588,HDPE
propanol,85,0.22910795,HDPE
propanol,80,0.12934589,HDPE
propanol,75,0.07195412,HDPE
propanol,70,0.03940713,HDPE
propanol,65,0.02123041,HDPE
propanol,60,0.01124244,HDPE
propanol,55,0.00584698,HDPE
propanol,50,0.00298406,HDPE
propanol,45,0.00149316,HDPE
propanol,40,0.00073185,HDPE
propanol,35,0.00035101,HDPE
propanol,30,0.00016457,HDPE
propanol,25,7.53E-05,HDPE
2-propanol,160,99.9990062,HDPE
2-propanol,155,99.99743405,HDPE
2-propanol,150,99.99355529,HDPE
2-propanol,145,99.9844744,HDPE
2-propanol,140,99.96447599,HDPE
2-propanol,135,66.59485594,HDPE
2-propanol,130,32.26680556,HDPE
2-propanol,125,17.50986977,HDPE
2-propanol,120,10.09945466,HDPE
2-propanol,115,5.96651966,HDPE
2-propanol,110,3.55189295,HDPE
2-propanol,105,2.11270142,HDPE
2-propanol,100,1.24941848,HDPE
2-propanol,95,0.73233072,HDPE
2-propanol,90,0.42453193,HDPE
2-propanol,85,0.24302322,HDPE
2-propanol,80,0.13721518,HDPE
2-propanol,75,0.07633882,HDPE
2-propanol,70,0.04181182,HDPE
2-propanol,65,0.02252726,HDPE
2-propanol,60,0.01192957,HDPE
2-propanol,55,0.00620435,HDPE
2-propanol,50,0.00316633,HDPE
2-propanol,45,0.00158425,HDPE
2-propanol,40,0.0007764,HDPE
2-propanol,35,0.00037232,HDPE
2-propanol,30,0.00017452,HDPE
2-propanol,25,7.99E-05,HDPE
propanone,160,99.99870977,HDPE
propanone,155,99.99805819,HDPE
propanone,150,99.99706304,HDPE
propanone,145,99.99554291,HDPE
propanone,140,99.99322355,HDPE
propanone,135,76.62623127,HDPE
propanone,130,40.06745202,HDPE
propanone,125,21.24251944,HDPE
propanone,120,12.3087647,HDPE
propanone,115,7.36072344,HDPE
propanone,110,4.44244562,HDPE
propanone,105,2.67866801,HDPE
propanone,100,1.60503268,HDPE
propanone,95,0.95266012,HDPE
propanone,90,0.55895893,HDPE
propanone,85,0.32371828,HDPE
propanone,80,0.18484254,HDPE
propanone,75,0.10395992,HDPE
propanone,70,0.05754184,HDPE
propanone,65,0.03131832,HDPE
propanone,60,0.01674779,HDPE
propanone,55,0.00879228,HDPE
propanone,50,0.00452751,HDPE
propanone,45,0.00228477,HDPE
propanone,40,0.00112886,HDPE
propanone,35,0.00054553,HDPE
propanone,30,0.00025758,HDPE
propanone,25,0.0001187,HDPE
acetylacetone,160,99.99846756,HDPE
acetylacetone,155,99.99467652,HDPE
acetylacetone,150,99.98191042,HDPE
acetylacetone,145,99.94201025,HDPE
acetylacetone,140,99.99906631,HDPE
acetylacetone,135,27.20519708,HDPE
acetylacetone,130,11.63417327,HDPE
acetylacetone,125,6.38743553,HDPE
acetylacetone,120,3.72141055,HDPE
acetylacetone,115,2.21369561,HDPE
acetylacetone,110,1.3239528,HDPE
acetylacetone,105,0.78989574,HDPE
acetylacetone,100,0.46798528,HDPE
acetylacetone,95,0.2745358,HDPE
acetylacetone,90,0.15914998,HDPE
acetylacetone,85,0.09103762,HDPE
acetylacetone,80,0.05132661,HDPE
acetylacetone,75,0.02849376,HDPE
acetylacetone,70,0.0155619,HDPE
acetylacetone,65,0.00835451,HDPE
acetylacetone,60,0.00440522,HDPE
acetylacetone,55,0.0022795,HDPE
acetylacetone,50,0.00115655,HDPE
acetylacetone,45,0.00057484,HDPE
acetylacetone,40,0.00027963,HDPE
acetylacetone,35,0.00013299,HDPE
acetylacetone,30,6.18E-05,HDPE
acetylacetone,25,2.80E-05,HDPE
benzene,160,99.97230219,HDPE
benzene,155,99.96755501,HDPE
benzene,150,99.96196243,HDPE
benzene,145,99.95536891,HDPE
benzene,140,99.94758946,HDPE
benzene,135,76.6417931,HDPE
benzene,130,52.70921809,HDPE
benzene,125,32.98406733,HDPE
benzene,120,19.86122074,HDPE
benzene,115,11.90694779,HDPE
benzene,110,7.15235653,HDPE
benzene,105,4.2933075,HDPE
benzene,100,2.56536886,HDPE
benzene,95,1.52087489,HDPE
benzene,90,0.8923172,HDPE
benzene,85,0.51710561,HDPE
benzene,80,0.29553297,HDPE
benzene,75,0.16636053,HDPE
benzene,70,0.09213763,HDPE
benzene,65,0.05015714,HDPE
benzene,60,0.02681166,HDPE
benzene,55,0.01406049,HDPE
benzene,50,0.00722682,HDPE
benzene,45,0.00363691,HDPE
benzene,40,0.00179021,HDPE
benzene,35,0.00086097,HDPE
benzene,30,0.00040409,HDPE
benzene,25,0.00018486,HDPE
chcl3,160,99.97374188,HDPE
chcl3,155,99.96906114,HDPE
chcl3,150,99.9635267,HDPE
chcl3,145,99.95698027,HDPE
chcl3,140,99.94923386,HDPE
chcl3,135,68.42607566,HDPE
chcl3,130,42.72575409,HDPE
chcl3,125,24.98538757,HDPE
chcl3,120,14.42759453,HDPE
chcl3,115,8.43688568,HDPE
chcl3,110,4.99473149,HDPE
chcl3,105,2.9733313,HDPE
chcl3,100,1.76866147,HDPE
chcl3,95,1.04631415,HDPE
chcl3,90,0.61349994,HDPE
chcl3,85,0.35565117,HDPE
chcl3,80,0.20346212,HDPE
chcl3,75,0.11469879,HDPE
chcl3,70,0.06363923,HDPE
chcl3,65,0.03471526,HDPE
chcl3,60,0.0186002,HDPE
chcl3,55,0.00977915,HDPE
chcl3,50,0.00504028,HDPE
chcl3,45,0.0025442,HDPE
chcl3,40,0.00125645,HDPE
chcl3,35,0.00060641,HDPE
chcl3,30,0.00028571,HDPE
chcl3,25,0.00013124,HDPE
cyclohexane,160,100,HDPE
cyclohexane,155,100,HDPE
cyclohexane,150,100,HDPE
cyclohexane,145,100,HDPE
cyclohexane,140,100,HDPE
cyclohexane,135,77.37924068,HDPE
cyclohexane,130,57.67391433,HDPE
cyclohexane,125,41.4591388,HDPE
cyclohexane,120,28.81812287,HDPE
cyclohexane,115,19.43601794,HDPE
cyclohexane,110,12.76558976,HDPE
cyclohexane,105,8.19267624,HDPE
cyclohexane,100,5.15158757,HDPE
cyclohexane,95,3.18010345,HDPE
cyclohexane,90,1.92965255,HDPE
cyclohexane,85,1.15174949,HDPE
cyclohexane,80,0.67637779,HDPE
cyclohexane,75,0.39078906,HDPE
cyclohexane,70,0.22206662,HDPE
cyclohexane,65,0.1240517,HDPE
cyclohexane,60,0.06808244,HDPE
cyclohexane,55,0.03668349,HDPE
cyclohexane,50,0.01938934,HDPE
cyclohexane,45,0.01004463,HDPE
cyclohexane,40,0.00509534,HDPE
cyclohexane,35,0.00252838,HDPE
cyclohexane,30,0.00122594,HDPE
cyclohexane,25,0.00058016,HDPE
cyclohexanol,160,99.99338911,HDPE
cyclohexanol,155,99.98782485,HDPE
cyclohexanol,150,99.9778293,HDPE
cyclohexanol,145,99.96025345,HDPE
cyclohexanol,140,99.93012099,HDPE
cyclohexanol,135,59.94829415,HDPE
