Number,Type,Polymer,Dispersion,Polar,Hydrogen Bonding,Interaction Radius
1,Cellulose Acetobutyrate,CELLIT BP-300,16.6,12,6.7,10.2
2,Cellulose Acetate,CELLIDORA A,18.2,12.4,10.8,7.4
3,Ethyl Cellulose,ETHOCEL HE10,17.9,4.3,3.9,5.9
4,Ethyl Cellulose,ETHOCEL STD 20,20.1,6.9,5.9,9.9
5,Epoxy,ARALDITE DY O25,14,7.4,9.4,13.7
6,Epoxy,EPIKOTE 828,23.1,14.6,5,20.5
7,Epoxy,EPIKOTE 1001,20,10.32,10.11,10.02
8,Epoxy,EPIKOTE 1004,17.4,10.5,9,7.9
9,Epoxy,EPIKOTE 1007,21,11.1,13.4,11.7
10,Epoxy,EPIKOTE 1009,19.3,9.37,10.95,8.26
11,Epoxy,PKHH,23.4,7.2,14.8,14.9
12,Epoxy Curing Agents,VERSAMID 100,23.8,5.3,16.2,16.1
13,Epoxy Curing Agents,VERSAMID 115,20.3,6.6,14.1,9.6
14,Epoxy Curing Agents,VERSAMID 125,24.9,3.1,18.7,20.3
15,Epoxy Curing Agents,VERSAMID 140,26.9,2.4,18.5,24
16,Polyurethane,DESMOPHEN 651,17.7,10.6,11.6,9.5
17,Polyurethane,DESMOPHEN 800,19.1,12.2,9.9,8
18,Polyurethane,DESMOPHEN 850,21.54,14.94,12.28,16.78
19,Polyurethane,DESMOPHEN 1100,16,13.1,9.2,11.4
20,Polyurethane,DESMOPHEN 1150,20.6,7.8,11.6,13.1
21,Polyurethane,DESMOPHEN 1200,19.4,7.4,6,9.8
22,Polyurethane,DESMOPHEN 1700,17.9,9.6,5.9,8.2
23,Polyurethane,DESMOLAC 4200,18.7,9.6,9.9,8.2
24,Polyurethane,MACRYNAL SM 510N,19.9,8.1,6,9.8
25,Phenolic Resins,SUPER BECKACITE 1001,23.26,6.55,8.35,19.85
26,Phenolic Resins,PHENODUR 373U,19.74,11.62,14.59,12.69
27,Hydrocarbon Resins,PLIOLYTE S-100,16.47,0.37,2.84,8.59
28,Hydrocarbon Resins,PICCOPALE 110,17.55,1.19,3.6,6.55
29,Hydrocarbon Resins,PICCORONE 450L,19.42,5.48,5.77,9.62
30,Styrene-Butadiene (SBR),POLYSAR 5630,17.55,3.35,2.7,6.55
31,Acrylonitrile-Butadiene,HYCAR 1052,18.62,8.78,4.17,9.62
32,Polybutadiene,BUNA HULS B10,17.53,2.25,3.42,6.55
33,Polyisoprene,CARIFLEX IR 305,16.57,1.41,-0.82,9.62
34,Polyisobutylene,LUTONAL IC/1203,14.2,2.5,4.6,12.4
35,Polyisobutylene,LUTANAL I60,16.9,2.5,4,7.2
36,Polyisobutylene,POLYVINYLBUTYL ETHER,17.4,4.3,8.4,7.4
37,Special,LIGNIN,20.17,14.61,15.04,11.66
38,Special,MODAFLOW,16.1,3.7,7.9,8.9
39,Polyvinylchloride,VIPLA KR (PVC),18.4,6.6,8,3
40,Chloroparaffin,CERECLOR 70,20,8.3,6.8,9.8
41,Chloroparaffin,CHLOROPAR 40,17,7.6,7.9,11.9
42,Chlorinated Rubber,PERGUT S 5,17.4,9.5,3.8,10
43,Chlorinated Rubber,ALLOPREN R10,17.4,4.3,3.9,6.1
44,Chlorinated Polypropylene,PARLON P 10,20.26,6.32,5.4,10.64
45,Chlorosulfonated PE,HYPALON 20,18.1,3.4,4.9,3.6
46,Chlorosulfonated PE,HYPALON 30,18.2,4.7,2,5
47,Cyclized Rubber,ALPEX,19.9,0,0,9.4
48,Nitrocellulose,1/2-sec.-NITRO CELLULOSE H,15.41,14.73,8.84,11.46
49,Rosin Derivatives,CELLOLYN 102,21.73,0.94,8.53,15.75
50,Rosin Derivatives,PENTALYN 255,17.55,9.37,14.32,10.64
51,Rosin Derivatives,PENTALYN 830,20.03,5.81,10.93,11.66
52,Rosin Derivatives,ESTER GUM BL,19.64,4.73,7.77,10.64
53,Polyamide,VERSAMID 930,17.43,-1.92,14.89,9.62
54,Polyamide,VERSAMID 961,18.9,9.6,11.1,6.2
55,Polyamide,VERSAMID 965,20.15,6.04,12.9,9.2
56,Isocyanate,DESMODUR L,17.5,11.3,5.9,8.5
57,Isocyanate,DESMODUR N,17.6,10,3.7,9.3
58,Isocyanate,SUPRASEC F-5100,19.7,12.9,12.8,11.4
59,Polyvinylbutyral,MOWITAL B 30 H,18.6,12.9,10.3,8.3
60,Polyvinylbutyral,MOWITAL B 60 H,20.2,11.2,13.3,11.2
61,Polyvinylbutyral,BUTVAR B 76,18.6,4.36,13.03,10.64
62,Polyacrylate,LUCITE 2042 PEMA,17.6,9.66,3.97,10.64
63,Polyacrylate,LUCITE 2044 PMMA,16.2,6.8,5.7,9.1
64,Polyacrylate,PLEXIGUM MB319,18.6,10.8,4.1,11.5
65,Polyacrylate,PLEXIGUM M527,18.4,9.4,6.5,10.7
66,Polyacrylate,PMMA,18.64,10.52,7.51,8.59
67,Polyvinylacetate,MOWILITH 50 PVAC,20.93,11.27,9.66,13.71
68,Polystyrene,POLYSTYRENE LG,22.28,5.75,4.3,12.68
69,Vinyl Chloride Copolymers,LAROFLEX MP 45,18.4,8.4,5.8,9
70,Vinyl Chloride Copolymers,VILIT MB 30,20,8.3,6.7,9.4
71,Vinyl Chloride Copolymers,VILIT MC 31,20,8.3,6.7,9.4
72,Vinyl Chloride Copolymers,VILIT MC 39,18.4,7.6,6.7,6.8
73,Vinyl Chloride Copolymers,VINYLITE VAGD,17.1,10.4,6.5,7.5
74,Vinyl Chloride Copolymers,VINYLITE VAGH,16.5,10.9,6.4,7.7
75,Vinyl Chloride Copolymers,VINYLITE VMCA,17.7,11.1,6.9,8.7
76,Vinyl Chloride Copolymers,VINYLITE VMCC,17.6,11.1,6.8,8.8
77,Vinyl Chloride Copolymers,VINYLITE VMCH,17.6,11.1,6.4,8.6
78,Vinyl Chloride Copolymers,VINYLITE VYHH,17.4,10.2,5.9,7.8
79,Vinyl Chloride Copolymers,VINYLITE VYLF,18.1,10.3,4.2,8.3
80,Binders in Solution: Alkyds and Polyesters,ALFTALAT AC 366,18.6,10,5,10.4
81,Binders in Solution: Alkyds and Polyesters,ALFTALATAM 756,23,2.2,4.2,16.9
82,Binders in Solution: Alkyds and Polyesters,ALFTALAT AN 896,22.9,15.2,7.6,18.1
83,Binders in Solution: Alkyds and Polyesters,ALFTALAT AN 950,22.6,13.8,8.1,17.1
