S/N,Solvent name,Solvent name in cosmobase,CAS number,CID,Bp (oC),Th,LogP,Cp (J/g.K),Energy (J/g)
1,"1,1,1,2-Tetrachloroethane","1,1,1,2-tetrachloroethane",630-20-6,12418,130.5,120,2.70,0.80,75.83
2,"1,1,1-Trichloroethane","1,1,1-trichloroethane",71-55-6,6278,74,72,2.52,0.90,42.14
3,"1,1,1-Trifluoroethane","1,1,1-trifluoroethane",420-46-2,9868,-47.5,-48,1.20,1.32,-96.56
4,"1,1,2,2-Tetrabromoethane","1,1,2,2-tetrabromoethane",79-27-6,6588,243.5,120,2.89,0.41,38.56
5,"1,1,2,2-Tetrachloroethane","1,1,2,2-tetrachloroethane",79-34-5,6591,146.5,120,2.53,0.80,75.83
6,"1,1,2-Trichloroethane","1,1,2-trichloroethane",79-00-5,6574,113.8,112,2.05,0.97,84.22
7,"1,1,2-Trichlorotrifluoroethane (Freon113)","1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,6428,47.7,46,3.26,0.94,19.71
8,"1,1,3,3-Tetramethoxypropane","1,1,3,3-tetramethoxypropane",102-52-3,66019,183,120,1.59,2.14,203.02
9,"1,1-Dibromoethane","1,1-dibromoethane",557-91-5,11201,109,108,2.03,0.71,58.60
10,"1,1-Dichloro-1-Nitroethane","1,1-dichloro-1-nitroethane",594-72-9,11674,123.5,120,2.60,1.11,105.90
11,"1,1-Dichloroacetone","1,1-dichloroacetone",513-88-2,10567,120,118,1.88,1.24,114.99
12,"1,1-Dichloroethane","1,1-dichloroethane",75-34-3,6365,57.4,56,1.76,1.12,34.72
13,"1,1-Dichloroethylene","1,1-dichloroethylene",75-35-4,6366,31.6,30,2.19,0.83,4.15
14,"1,1-Dichloropropane","1,1-dichloropropane",78-99-9,6573,88.1,86,2.36,1.39,84.85
15,"1,1-Dichloropropene","1,1-dichloropropene",563-58-6,11245,76.5,74,2.63,1.17,57.28
16,"1,1-Diethoxy Ethane","1,1-diethoxyethane",105-57-7,7765,102.2,100,2.33,2.22,166.51
17,"1,1-Difluoroethane","1,1-difluoroethane",75-37-6,6368,-24.9,-24,0.86,1.62,-79.61
18,"1,1-Difluoroethylene","1,1-difluoroethene",75-38-7,6369,-85.7,-86,1.47,0.74,-82.03
19,"1,1-Dimethoxy Ethane","1,1-dimethoxyethane",534-15-6,10795,64.5,62,1.15,2.03,74.93
20,"1,1-Dimethyl Hydrazine","1,1-dimethylhydrazine",57-14-7,5976,63,62,-0.21,2.16,79.80
21,"1,2,3,4-Tetramethylbenzene","1,2,3,4-tetramethylbenzene",488-23-3,10263,205,120,3.77,2.24,212.93
22,"1,2,3,5-Tetramethylbenzene","1,2,3,5-tetramethylbenzene",527-53-7,10695,198,120,3.90,2.24,212.93
23,"1,2,3-Benzotriazole",1h-benzotriazole,95-14-7,7220,350,120,-0.24,1.70,161.93
24,"1,2,3-Triazole","1h-1,2,3-triazole",288-36-8,67516,,,-1.81,0.00,0.00
25,"1,2,3-Trichloro Propene","1,2,3-trichloropropene",96-19-5,5370144,142,120,2.27,1.01,95.78
26,"1,2,3-Trichloropropane","1,2,3-trichloropropane",96-18-4,7285,157,120,2.05,1.18,112.57
27,"1,2,4,5-Tetrachlorobenzene","1,2,4,5-tetrachlorobenzene",95-94-3,7270,244.5,120,4.03,0.92,87.09
28,"1,2,4-Trichlorobenzene","1,2,4-trichlorobenzene",120-82-1,13,213.5,120,3.47,1.18,111.64
29,"1,2-Butadiene","1,2-butadiene",590-19-2,11535,10.9,8,2.03,2.19,-37.24
30,"1,2-Chlorobromoethylene",1-bromo-2-chloroethene,3018-09-5,5462544,84.6,82,2.15,0.67,38.18
31,"1,2-Cyclohexanedione","1,2-cyclohexanedione",765-87-7,13006,194,120,-0.09,1.95,185.65
32,"1,2-Dibromoethylene",cis-dibromoethene,540-49-8,637929,112.5,110,2.05,0.55,46.54
33,"1,2-Dichloroethylene (Cis)","cis-1,2-dichloroethene",156-59-2,643833,60.1,58,1.80,0.89,29.47
34,"1,2-Dichloropropane","1,2-dichloropropane",78-87-5,6564,95.5,94,2.11,1.49,102.85
35,"1,2-Dichlorotetrafluoroethane (Freon 114)","1,2-dichlorotetrafluoroethane",76-14-2,6429,3.8,2,2.99,0.96,-22.09
36,"1,2-Diethyl Benzene","1,2-diethylbenzene",135-01-3,8657,184,120,3.84,2.24,212.93
37,"1,2-Dihydroxybenzene (Catechol)","1,2-benzenediol",120-80-9,289,245,120,1.54,1.80,171.45
38,"1,2-Dimethoxybenzene","1,2-dimethoxybenzene",91-16-7,7043,206,120,1.79,16.63,1579.42
39,"1,2-Dinitrobenzene",o-dinitrobenzene,528-29-0,10707,318,120,2.34,1.45,137.63
40,"1,2-Ethane Dithiol","1,2-ethanedithiol",540-63-6,10902,146,120,1.39,1.58,149.95
41,"1,2-Methylenedioxybenzene (G.C.)","1,3-benzodioxole",274-09-9,9229,172.5,120,2.07,1.76,167.25
42,"1,2-Propadiene (Allene)",propadiene,463-49-0,10037,-34.4,-34,1.42,2.21,-130.63
43,"1,3,5-Trioxane","1,3,5-trioxane",110-88-3,8081,114.5,112,-0.39,1.84,160.24
44,"1,3-Benzenediol",resorcinol,108-46-3,5054,280,120,0.76,1.80,171.45
45,"1,3-Bis(Trifluoromethyl)Benzene","1,3-bis-(triflouromethyl)-benzene",402-31-3,223106,116,114,3.36,1.30,115.45
46,"1,3-Butadiene",butadiene,106-99-0,7845,-4.4,-4,1.89,2.15,-62.37
47,"1,3-Butadiene-1-Chloro",1-chloroprene,627-22-5,5462923,,,2.26,0.00,0.00
48,"1,3-Butanediol","1,3-butanediol",107-88-0,7896,207.5,120,0.10,3.07,291.51
49,"1,3-Dichloro Propane","1,3-dichloropropane",142-28-9,8881,120.9,118,1.77,1.53,142.37
50,"1,3-Dichloro-2-Butene","1,3-dichloro-2-butene",926-57-8,643911,131,120,2.24,1.46,138.58
51,"1,3-Dichloro-2-Propanol","1,3-dichloro-2-propanol",96-23-1,7289,176,120,1.29,1.42,135.14
52,"1,3-Dioxolane",dioxolane,646-06-0,12586,78,76,-0.19,1.86,94.95
53,"1,3-Pentadiene (Trans)",1-trans-3-pentadiene,2004-70-8,62204,42,40,2.43,2.02,30.32
