Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,38.29054348,EVOH
"1,1,1,2-tetrachloroethane",155,23.65073571,EVOH
"1,1,1,2-tetrachloroethane",150,13.80885561,EVOH
"1,1,1,2-tetrachloroethane",145,8.21573644,EVOH
"1,1,1,2-tetrachloroethane",140,5.06674972,EVOH
"1,1,1,2-tetrachloroethane",135,3.20801175,EVOH
"1,1,1,2-tetrachloroethane",130,2.06229062,EVOH
"1,1,1,2-tetrachloroethane",125,1.33493011,EVOH
"1,1,1,2-tetrachloroethane",120,0.86494688,EVOH
"1,1,1,2-tetrachloroethane",115,0.55855911,EVOH
"1,1,1,2-tetrachloroethane",110,0.35833706,EVOH
"1,1,1,2-tetrachloroethane",105,0.22780262,EVOH
"1,1,1,2-tetrachloroethane",100,0.14321362,EVOH
"1,1,1,2-tetrachloroethane",95,0.08888538,EVOH
"1,1,1,2-tetrachloroethane",90,0.05438288,EVOH
"1,1,1,2-tetrachloroethane",85,0.03275815,EVOH
"1,1,1,2-tetrachloroethane",80,0.01940407,EVOH
"1,1,1,2-tetrachloroethane",75,0.0112904,EVOH
"1,1,1,2-tetrachloroethane",70,0.00644642,EVOH
"1,1,1,2-tetrachloroethane",65,0.00360815,EVOH
"1,1,1,2-tetrachloroethane",60,0.00197778,EVOH
"1,1,1,2-tetrachloroethane",55,0.00106063,EVOH
"1,1,1,2-tetrachloroethane",50,0.00055592,EVOH
"1,1,1,2-tetrachloroethane",45,0.0002845,EVOH
"1,1,1,2-tetrachloroethane",40,0.000142,EVOH
"1,1,1,2-tetrachloroethane",35,0.00006906,EVOH
"1,1,1,2-tetrachloroethane",30,0.00003268,EVOH
"1,1,1,2-tetrachloroethane",25,0.00001503,EVOH
"1,1,1-trichloroethane",160,38.06849191,EVOH
"1,1,1-trichloroethane",155,16.54330773,EVOH
"1,1,1-trichloroethane",150,7.69260811,EVOH
"1,1,1-trichloroethane",145,4.24442341,EVOH
"1,1,1-trichloroethane",140,2.52091676,EVOH
"1,1,1-trichloroethane",135,1.54768536,EVOH
"1,1,1-trichloroethane",130,0.96372924,EVOH
"1,1,1-trichloroethane",125,0.60229544,EVOH
"1,1,1-trichloroethane",120,0.37530527,EVOH
"1,1,1-trichloroethane",115,0.23212345,EVOH
"1,1,1-trichloroethane",110,0.14202677,EVOH
"1,1,1-trichloroethane",105,0.08574698,EVOH
"1,1,1-trichloroethane",100,0.05097432,EVOH
"1,1,1-trichloroethane",95,0.02978465,EVOH
"1,1,1-trichloroethane",90,0.01707883,EVOH
"1,1,1-trichloroethane",85,0.00959677,EVOH
"1,1,1-trichloroethane",80,0.00527725,EVOH
"1,1,1-trichloroethane",75,0.00283623,EVOH
"1,1,1-trichloroethane",70,0.0014879,EVOH
"1,1,1-trichloroethane",65,0.00076094,EVOH
"1,1,1-trichloroethane",60,0.00037888,EVOH
"1,1,1-trichloroethane",55,0.00018343,EVOH
"1,1,1-trichloroethane",50,0.00008623,EVOH
"1,1,1-trichloroethane",45,0.0000393,EVOH
"1,1,1-trichloroethane",40,0.00001735,EVOH
"1,1,1-trichloroethane",35,0.0000074,EVOH
"1,1,1-trichloroethane",30,0.00000305,EVOH
"1,1,1-trichloroethane",25,0.00000121,EVOH
"1,1,1-trifluoroethane",160,62.53791022,EVOH
"1,1,1-trifluoroethane",155,48.88783247,EVOH
"1,1,1-trifluoroethane",150,34.09651514,EVOH
"1,1,1-trifluoroethane",145,20.49776026,EVOH
"1,1,1-trifluoroethane",140,11.48995631,EVOH
"1,1,1-trifluoroethane",135,6.59848086,EVOH
"1,1,1-trifluoroethane",130,3.92570772,EVOH
"1,1,1-trifluoroethane",125,2.38787458,EVOH
"1,1,1-trifluoroethane",120,1.46741632,EVOH
"1,1,1-trifluoroethane",115,0.90341991,EVOH
"1,1,1-trifluoroethane",110,0.55392033,EVOH
"1,1,1-trifluoroethane",105,0.33678049,EVOH
"1,1,1-trifluoroethane",100,0.20237352,EVOH
"1,1,1-trifluoroethane",95,0.11987512,EVOH
"1,1,1-trifluoroethane",90,0.06984434,EVOH
"1,1,1-trifluoroethane",85,0.03995348,EVOH
"1,1,1-trifluoroethane",80,0.02240196,EVOH
"1,1,1-trifluoroethane",75,0.01229344,EVOH
"1,1,1-trifluoroethane",70,0.00659333,EVOH
"1,1,1-trifluoroethane",65,0.00345135,EVOH
"1,1,1-trifluoroethane",60,0.00176094,EVOH
"1,1,1-trifluoroethane",55,0.00087457,EVOH
"1,1,1-trifluoroethane",50,0.00042222,EVOH
"1,1,1-trifluoroethane",45,0.00019787,EVOH
"1,1,1-trifluoroethane",40,0.00008989,EVOH
"1,1,1-trifluoroethane",35,0.00003952,EVOH
"1,1,1-trifluoroethane",30,0.00001679,EVOH
"1,1,1-trifluoroethane",25,0.00000688,EVOH
"1,1,2,2-tetrabromoethane",160,6.07888673,EVOH
"1,1,2,2-tetrabromoethane",155,3.41057725,EVOH
"1,1,2,2-tetrabromoethane",150,2.1140819,EVOH
"1,1,2,2-tetrabromoethane",145,1.36737619,EVOH
"1,1,2,2-tetrabromoethane",140,0.90252058,EVOH
"1,1,2,2-tetrabromoethane",135,0.60109863,EVOH
"1,1,2,2-tetrabromoethane",130,0.40131398,EVOH
"1,1,2,2-tetrabromoethane",125,0.26743071,EVOH
"1,1,2,2-tetrabromoethane",120,0.17734799,EVOH
"1,1,2,2-tetrabromoethane",115,0.11678084,EVOH
"1,1,2,2-tetrabromoethane",110,0.07622692,EVOH
"1,1,2,2-tetrabromoethane",105,0.04925411,EVOH
"1,1,2,2-tetrabromoethane",100,0.03146877,EVOH
"1,1,2,2-tetrabromoethane",95,0.01986067,EVOH
"1,1,2,2-tetrabromoethane",90,0.01237104,EVOH
"1,1,2,2-tetrabromoethane",85,0.00759922,EVOH
"1,1,2,2-tetrabromoethane",80,0.00459997,EVOH
"1,1,2,2-tetrabromoethane",75,0.00274189,EVOH
"1,1,2,2-tetrabromoethane",70,0.0016082,EVOH
"1,1,2,2-tetrabromoethane",65,0.00092751,EVOH
"1,1,2,2-tetrabromoethane",60,0.00052561,EVOH
"1,1,2,2-tetrabromoethane",55,0.00029246,EVOH
"1,1,2,2-tetrabromoethane",50,0.00015965,EVOH
"1,1,2,2-tetrabromoethane",45,0.00008544,EVOH
