Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,99.99944606,HDPE
"1,1,1,2-tetrachloroethane",155,99.99929822,HDPE
"1,1,1,2-tetrachloroethane",150,99.99910642,HDPE
"1,1,1,2-tetrachloroethane",145,99.99885661,HDPE
"1,1,1,2-tetrachloroethane",140,99.99853003,HDPE
"1,1,1,2-tetrachloroethane",135,58.66668398,HDPE
"1,1,1,2-tetrachloroethane",130,31.20428708,HDPE
"1,1,1,2-tetrachloroethane",125,16.58417682,HDPE
"1,1,1,2-tetrachloroethane",120,9.25187046,HDPE
"1,1,1,2-tetrachloroethane",115,5.35745292,HDPE
"1,1,1,2-tetrachloroethane",110,3.16413909,HDPE
"1,1,1,2-tetrachloroethane",105,1.88272314,HDPE
"1,1,1,2-tetrachloroethane",100,1.11972853,HDPE
"1,1,1,2-tetrachloroethane",95,0.66219438,HDPE
"1,1,1,2-tetrachloroethane",90,0.38804624,HDPE
"1,1,1,2-tetrachloroethane",85,0.22476774,HDPE
"1,1,1,2-tetrachloroethane",80,0.1284529,HDPE
"1,1,1,2-tetrachloroethane",75,0.07232585,HDPE
"1,1,1,2-tetrachloroethane",70,0.04007448,HDPE
"1,1,1,2-tetrachloroethane",65,0.02182791,HDPE
"1,1,1,2-tetrachloroethane",60,0.01167621,HDPE
"1,1,1,2-tetrachloroethane",55,0.00612807,HDPE
"1,1,1,2-tetrachloroethane",50,0.00315253,HDPE
"1,1,1,2-tetrachloroethane",45,0.00158811,HDPE
"1,1,1,2-tetrachloroethane",40,0.0007826,HDPE
"1,1,1,2-tetrachloroethane",35,0.00037685,HDPE
"1,1,1,2-tetrachloroethane",30,0.00017711,HDPE
"1,1,1,2-tetrachloroethane",25,0.00008115,HDPE
"1,1,1-trichloroethane",160,99.9934372,HDPE
"1,1,1-trichloroethane",155,99.99230377,HDPE
"1,1,1-trichloroethane",150,99.99096375,HDPE
"1,1,1-trichloroethane",145,99.98937783,HDPE
"1,1,1-trichloroethane",140,99.98749897,HDPE
"1,1,1-trichloroethane",135,66.31300584,HDPE
"1,1,1-trichloroethane",130,41.21931096,HDPE
