Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,99.99944606,LDPE
"1,1,1,2-tetrachloroethane",155,99.99929822,LDPE
"1,1,1,2-tetrachloroethane",150,99.99910642,LDPE
"1,1,1,2-tetrachloroethane",145,99.99885661,LDPE
"1,1,1,2-tetrachloroethane",140,92.45699063,LDPE
"1,1,1,2-tetrachloroethane",135,68.70903973,LDPE
"1,1,1,2-tetrachloroethane",130,48.88900289,LDPE
"1,1,1,2-tetrachloroethane",125,33.64221534,LDPE
"1,1,1,2-tetrachloroethane",120,22.91662674,LDPE
"1,1,1,2-tetrachloroethane",115,15.74319891,LDPE
"1,1,1,2-tetrachloroethane",110,10.9687187,LDPE
"1,1,1,2-tetrachloroethane",105,7.73624022,LDPE
"1,1,1,2-tetrachloroethane",100,5.50190655,LDPE
"1,1,1,2-tetrachloroethane",95,3.93043759,LDPE
"1,1,1,2-tetrachloroethane",90,2.81139809,LDPE
"1,1,1,2-tetrachloroethane",85,2.00831162,LDPE
"1,1,1,2-tetrachloroethane",80,1.42974975,LDPE
"1,1,1,2-tetrachloroethane",75,1.0126638,LDPE
"1,1,1,2-tetrachloroethane",70,0.71256833,LDPE
"1,1,1,2-tetrachloroethane",65,0.49752443,LDPE
"1,1,1,2-tetrachloroethane",60,0.34432254,LDPE
"1,1,1,2-tetrachloroethane",55,0.23597411,LDPE
"1,1,1,2-tetrachloroethane",50,0.16000346,LDPE
"1,1,1,2-tetrachloroethane",45,0.10725092,LDPE
"1,1,1,2-tetrachloroethane",40,0.07101219,LDPE
"1,1,1,2-tetrachloroethane",35,0.04640707,LDPE
"1,1,1,2-tetrachloroethane",30,0.02990975,LDPE
"1,1,1,2-tetrachloroethane",25,0.01899639,LDPE
"1,1,1-trichloroethane",160,99.9934372,LDPE
"1,1,1-trichloroethane",155,99.99230377,LDPE
"1,1,1-trichloroethane",150,99.99096375,LDPE
"1,1,1-trichloroethane",145,99.98937783,LDPE
"1,1,1-trichloroethane",140,93.98559472,LDPE
"1,1,1-trichloroethane",135,74.72131437,LDPE
"1,1,1-trichloroethane",130,57.91657661,LDPE
"1,1,1-trichloroethane",125,43.80800271,LDPE
"1,1,1-trichloroethane",120,32.49495429,LDPE
"1,1,1-trichloroethane",115,23.80648332,LDPE
"1,1,1-trichloroethane",110,17.33619148,LDPE
"1,1,1-trichloroethane",105,12.59597218,LDPE
"1,1,1-trichloroethane",100,9.14333641,LDPE
"1,1,1-trichloroethane",95,6.62948123,LDPE
"1,1,1-trichloroethane",90,4.79661967,LDPE
"1,1,1-trichloroethane",85,3.45889463,LDPE
"1,1,1-trichloroethane",80,2.48277265,LDPE
"1,1,1-trichloroethane",75,1.77178744,LDPE
"1,1,1-trichloroethane",70,1.25568357,LDPE
"1,1,1-trichloroethane",65,0.88288265,LDPE
"1,1,1-trichloroethane",60,0.61528316,LDPE
"1,1,1-trichloroethane",55,0.42463936,LDPE
"1,1,1-trichloroethane",50,0.28999033,LDPE
"1,1,1-trichloroethane",45,0.19580497,LDPE
"1,1,1-trichloroethane",40,0.13061936,LDPE
"1,1,1-trichloroethane",35,0.08602081,LDPE
"1,1,1-trichloroethane",30,0.05588267,LDPE
"1,1,1-trichloroethane",25,0.03578376,LDPE
"1,1,1-trifluoroethane",160,99.99948883,LDPE
"1,1,1-trifluoroethane",155,99.99927777,LDPE
"1,1,1-trifluoroethane",150,99.99897213,LDPE
"1,1,1-trifluoroethane",145,99.99852771,LDPE
"1,1,1-trifluoroethane",140,96.11035229,LDPE
"1,1,1-trifluoroethane",135,82.02171059,LDPE
