Solvent,Temperature (°C),Solubility (%)
"1,1,1,2-tetrachloroethane",160,23.82792052
"1,1,1,2-tetrachloroethane",155,20.99915041
"1,1,1,2-tetrachloroethane",150,18.32504609
"1,1,1,2-tetrachloroethane",145,15.82925700
"1,1,1,2-tetrachloroethane",140,13.53133719
"1,1,1,2-tetrachloroethane",135,11.44577478
"1,1,1,2-tetrachloroethane",130,9.58063470
"1,1,1,2-tetrachloroethane",125,7.93703785
"1,1,1,2-tetrachloroethane",120,6.50959423
"1,1,1,2-tetrachloroethane",115,5.28718362
"1,1,1,2-tetrachloroethane",110,4.25431201
"1,1,1,2-tetrachloroethane",105,3.39256089
"1,1,1,2-tetrachloroethane",100,2.68205267
"1,1,1,2-tetrachloroethane",95,2.10270241
"1,1,1,2-tetrachloroethane",90,1.63517445
"1,1,1,2-tetrachloroethane",85,1.26155133
"1,1,1,2-tetrachloroethane",80,0.96572211
"1,1,1,2-tetrachloroethane",75,0.73355333
"1,1,1,2-tetrachloroethane",70,0.55289804
"1,1,1,2-tetrachloroethane",65,0.41349611
"1,1,1,2-tetrachloroethane",60,0.30681047
"1,1,1,2-tetrachloroethane",55,0.22583050
"1,1,1,2-tetrachloroethane",50,0.16486707
"1,1,1,2-tetrachloroethane",45,0.11935344
"1,1,1,2-tetrachloroethane",40,0.08566104
"1,1,1,2-tetrachloroethane",35,0.06093470
"1,1,1,2-tetrachloroethane",30,0.04294904
"1,1,1,2-tetrachloroethane",25,0.02998565
"1,1,1-trichloroethane",160,29.44296589
"1,1,1-trichloroethane",155,26.12652129
"1,1,1-trichloroethane",150,22.90785302
"1,1,1-trichloroethane",145,19.83002340
"1,1,1-trichloroethane",140,16.93590826
"1,1,1-trichloroethane",135,14.26498844
"1,1,1-trichloroethane",130,11.84880213
"1,1,1-trichloroethane",125,9.70749482
"1,1,1-trichloroethane",120,7.84823556
"1,1,1-trichloroethane",115,6.26531225
"1,1,1-trichloroethane",110,4.94226119
"1,1,1-trichloroethane",105,3.85497905
"1,1,1-trichloroethane",100,2.97509130
"1,1,1-trichloroethane",95,2.27289492
"1,1,1-trichloroethane",90,1.71957507
"1,1,1-trichloroethane",85,1.28863559
"1,1,1-trichloroethane",80,0.95665883
"1,1,1-trichloroethane",75,0.70356590
"1,1,1-trichloroethane",70,0.51254751
"1,1,1-trichloroethane",65,0.36980267
"1,1,1-trichloroethane",60,0.26418403
"1,1,1-trichloroethane",55,0.18681467
"1,1,1-trichloroethane",50,0.13071552
"1,1,1-trichloroethane",45,0.09046443
"1,1,1-trichloroethane",40,0.06189656
"1,1,1-trichloroethane",35,0.04184834
"1,1,1-trichloroethane",30,0.02794345
"1,1,1-trichloroethane",25,0.01841709
"1,1,1-trifluoroethane",160,45.45999207
"1,1,1-trifluoroethane",155,41.79583859
"1,1,1-trifluoroethane",150,37.98427084
"1,1,1-trifluoroethane",145,34.05033921
"1,1,1-trifluoroethane",140,30.03766895
"1,1,1-trifluoroethane",135,26.01105747
