Solvent,Temperature (°C),Solubility (%)
"1,1,1,2-tetrachloroethane",160,9.52763557
"1,1,1,2-tetrachloroethane",155,7.78751997
"1,1,1,2-tetrachloroethane",150,6.30235722
"1,1,1,2-tetrachloroethane",145,5.05128250
"1,1,1,2-tetrachloroethane",140,4.01069504
"1,1,1,2-tetrachloroethane",135,3.15569718
"1,1,1,2-tetrachloroethane",130,2.46132960
"1,1,1,2-tetrachloroethane",125,1.90362176
"1,1,1,2-tetrachloroethane",120,1.46033942
"1,1,1,2-tetrachloroethane",115,1.11147253
"1,1,1,2-tetrachloroethane",110,0.83947167
"1,1,1,2-tetrachloroethane",105,0.62928140
"1,1,1,2-tetrachloroethane",100,0.46823472
"1,1,1,2-tetrachloroethane",95,0.34585189
"1,1,1,2-tetrachloroethane",90,0.25359079
"1,1,1,2-tetrachloroethane",85,0.18458023
"1,1,1,2-tetrachloroethane",80,0.13335868
"1,1,1,2-tetrachloroethane",75,0.09563216
"1,1,1,2-tetrachloroethane",70,0.06805862
"1,1,1,2-tetrachloroethane",65,0.04806157
"1,1,1,2-tetrachloroethane",60,0.03367270
"1,1,1,2-tetrachloroethane",55,0.02340151
"1,1,1,2-tetrachloroethane",50,0.01612906
"1,1,1,2-tetrachloroethane",45,0.01102248
"1,1,1,2-tetrachloroethane",40,0.00746714
"1,1,1,2-tetrachloroethane",35,0.00501333
"1,1,1,2-tetrachloroethane",30,0.00333490
"1,1,1,2-tetrachloroethane",25,0.00219738
"1,1,1-trichloroethane",160,8.51668359
"1,1,1-trichloroethane",155,6.65267050
"1,1,1-trichloroethane",150,5.13726498
"1,1,1-trichloroethane",145,3.92509958
"1,1,1-trichloroethane",140,2.96928048
"1,1,1-trichloroethane",135,2.22513005
"1,1,1-trichloroethane",130,1.65238931
"1,1,1-trichloroethane",125,1.21620702
"1,1,1-trichloroethane",120,0.88730357
"1,1,1-trichloroethane",115,0.64164295
"1,1,1-trichloroethane",110,0.45985560
"1,1,1-trichloroethane",105,0.32657038
"1,1,1-trichloroethane",100,0.22974970
"1,1,1-trichloroethane",95,0.16007763
"1,1,1-trichloroethane",90,0.11042323
"1,1,1-trichloroethane",85,0.07538498
"1,1,1-trichloroethane",80,0.05091311
"1,1,1-trichloroethane",75,0.03400216
"1,1,1-trichloroethane",70,0.02244470
"1,1,1-trichloroethane",65,0.01463646
"1,1,1-trichloroethane",60,0.00942418
"1,1,1-trichloroethane",55,0.00598815
"1,1,1-trichloroethane",50,0.00375253
"1,1,1-trichloroethane",45,0.00231773
"1,1,1-trichloroethane",40,0.00140999
"1,1,1-trichloroethane",35,0.00084425
"1,1,1-trichloroethane",30,0.00049716
"1,1,1-trichloroethane",25,0.00028770
"1,1,1-trifluoroethane",160,24.05535421
"1,1,1-trifluoroethane",155,20.40282170
"1,1,1-trifluoroethane",150,16.99960510
"1,1,1-trifluoroethane",145,13.90148755
"1,1,1-trifluoroethane",140,11.15229269
"1,1,1-trifluoroethane",135,8.77746126
"1,1,1-trifluoroethane",130,6.78136163
"1,1,1-trifluoroethane",125,5.14767563
"1,1,1-trifluoroethane",120,3.84374155
"1,1,1-trifluoroethane",115,2.82667036
"1,1,1-trifluoroethane",110,2.04959117
"1,1,1-trifluoroethane",105,1.46672585
"1,1,1-trifluoroethane",100,1.03667870
"1,1,1-trifluoroethane",95,0.72406809
"1,1,1-trifluoroethane",90,0.49990794
"1,1,1-trifluoroethane",85,0.34121769
"1,1,1-trifluoroethane",80,0.23024612
"1,1,1-trifluoroethane",75,0.15356958
"1,1,1-trifluoroethane",70,0.10121795
"1,1,1-trifluoroethane",65,0.06590209
"1,1,1-trifluoroethane",60,0.04236903
"1,1,1-trifluoroethane",55,0.02688418
"1,1,1-trifluoroethane",50,0.01682717
"1,1,1-trifluoroethane",45,0.01038332
"1,1,1-trifluoroethane",40,0.00631240
"1,1,1-trifluoroethane",35,0.00377823
"1,1,1-trifluoroethane",30,0.00222482
"1,1,1-trifluoroethane",25,0.00128788
"1,1,2,2-tetrabromoethane",160,10.25936414
"1,1,2,2-tetrabromoethane",155,9.02590620
"1,1,2,2-tetrabromoethane",150,7.90555219
"1,1,2,2-tetrabromoethane",145,6.89159383
"1,1,2,2-tetrabromoethane",140,5.97787342
"1,1,2,2-tetrabromoethane",135,5.15807369
