Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,65.5638638,PP-LMW
"1,1,1,2-tetrachloroethane",155,59.20635583,PP-LMW
"1,1,1,2-tetrachloroethane",150,52.86631549,PP-LMW
"1,1,1,2-tetrachloroethane",145,46.59743617,PP-LMW
"1,1,1,2-tetrachloroethane",140,40.48224927,PP-LMW
"1,1,1,2-tetrachloroethane",135,34.63312601,PP-LMW
"1,1,1,2-tetrachloroethane",130,29.18467036,PP-LMW
"1,1,1,2-tetrachloroethane",125,24.26548303,PP-LMW
"1,1,1,2-tetrachloroethane",120,19.96484869,PP-LMW
"1,1,1,2-tetrachloroethane",115,16.30983965,PP-LMW
"1,1,1,2-tetrachloroethane",110,13.26785114,PP-LMW
"1,1,1,2-tetrachloroethane",105,10.76955791,PP-LMW
"1,1,1,2-tetrachloroethane",100,8.73189868,PP-LMW
"1,1,1,2-tetrachloroethane",95,7.07453346,PP-LMW
"1,1,1,2-tetrachloroethane",90,5.72702196,PP-LMW
"1,1,1,2-tetrachloroethane",85,4.63064636,PP-LMW
"1,1,1,2-tetrachloroethane",80,3.73784317,PP-LMW
"1,1,1,2-tetrachloroethane",75,3.01034749,PP-LMW
"1,1,1,2-tetrachloroethane",70,2.41753432,PP-LMW
"1,1,1,2-tetrachloroethane",65,1.9347594,PP-LMW
"1,1,1,2-tetrachloroethane",60,1.54213197,PP-LMW
"1,1,1,2-tetrachloroethane",55,1.22350098,PP-LMW
"1,1,1,2-tetrachloroethane",50,0.96565971,PP-LMW
"1,1,1,2-tetrachloroethane",45,0.7577638,PP-LMW
"1,1,1,2-tetrachloroethane",40,0.59086443,PP-LMW
"1,1,1,2-tetrachloroethane",35,0.45755159,PP-LMW
"1,1,1,2-tetrachloroethane",30,0.35167644,PP-LMW
"1,1,1,2-tetrachloroethane",25,0.26813042,PP-LMW
"1,1,1-trichloroethane",160,72.29230247,PP-LMW
"1,1,1-trichloroethane",155,67.13128121,PP-LMW
"1,1,1-trichloroethane",150,61.96293266,PP-LMW
"1,1,1-trichloroethane",145,56.80859986,PP-LMW
"1,1,1-trichloroethane",140,51.69557147,PP-LMW
"1,1,1-trichloroethane",135,46.65771241,PP-LMW
"1,1,1-trichloroethane",130,41.73657565,PP-LMW
"1,1,1-trichloroethane",125,36.98080061,PP-LMW
"1,1,1-trichloroethane",120,32.4435465,PP-LMW
"1,1,1-trichloroethane",115,28.17903179,PP-LMW
"1,1,1-trichloroethane",110,24.23632143,PP-LMW
"1,1,1-trichloroethane",105,20.65317275,PP-LMW
"1,1,1-trichloroethane",100,17.4512676,PP-LMW
"1,1,1-trichloroethane",95,14.63445317,PP-LMW
"1,1,1-trichloroethane",90,12.19026245,PP-LMW
"1,1,1-trichloroethane",85,10.09400484,PP-LMW
"1,1,1-trichloroethane",80,8.31319294,PP-LMW
"1,1,1-trichloroethane",75,6.81209456,PP-LMW
"1,1,1-trichloroethane",70,5.55487199,PP-LMW
"1,1,1-trichloroethane",65,4.50767718,PP-LMW
"1,1,1-trichloroethane",60,3.63967576,PP-LMW
"1,1,1-trichloroethane",55,2.92352256,PP-LMW
"1,1,1-trichloroethane",50,2.33536865,PP-LMW
"1,1,1-trichloroethane",45,1.85460844,PP-LMW
"1,1,1-trichloroethane",40,1.46359296,PP-LMW
"1,1,1-trichloroethane",35,1.14727241,PP-LMW
"1,1,1-trichloroethane",30,0.89286005,PP-LMW
"1,1,1-trichloroethane",25,0.68952701,PP-LMW
"1,1,1-trifluoroethane",160,80.20809801,PP-LMW
"1,1,1-trifluoroethane",155,75.81807121,PP-LMW
"1,1,1-trifluoroethane",150,71.08925975,PP-LMW
"1,1,1-trifluoroethane",145,65.96287449,PP-LMW
"1,1,1-trifluoroethane",140,60.36655726,PP-LMW
"1,1,1-trifluoroethane",135,54.21762606,PP-LMW
"1,1,1-trifluoroethane",130,47.44433092,PP-LMW
"1,1,1-trifluoroethane",125,40.05741912,PP-LMW
"1,1,1-trifluoroethane",120,32.32550372,PP-LMW
"1,1,1-trifluoroethane",115,24.94553543,PP-LMW
"1,1,1-trifluoroethane",110,18.73328652,PP-LMW
"1,1,1-trifluoroethane",105,13.98853234,PP-LMW
"1,1,1-trifluoroethane",100,10.50475516,PP-LMW
"1,1,1-trifluoroethane",95,7.95192558,PP-LMW
"1,1,1-trifluoroethane",90,6.05970645,PP-LMW
"1,1,1-trifluoroethane",85,4.63844047,PP-LMW
"1,1,1-trifluoroethane",80,3.55874194,PP-LMW
"1,1,1-trifluoroethane",75,2.73151273,PP-LMW
"1,1,1-trifluoroethane",70,2.09409295,PP-LMW
"1,1,1-trifluoroethane",65,1.6013227,PP-LMW
"1,1,1-trifluoroethane",60,1.21991576,PP-LMW
"1,1,1-trifluoroethane",55,0.92488483,PP-LMW
"1,1,1-trifluoroethane",50,0.69716484,PP-LMW
"1,1,1-trifluoroethane",45,0.5220195,PP-LMW
"1,1,1-trifluoroethane",40,0.38795221,PP-LMW
"1,1,1-trifluoroethane",35,0.28593245,PP-LMW
"1,1,1-trifluoroethane",30,0.20883557,PP-LMW
"1,1,1-trifluoroethane",25,0.15103208,PP-LMW
"1,1,2,2-tetrabromoethane",160,3.42680332,PP-LMW
"1,1,2,2-tetrabromoethane",155,2.49668949,PP-LMW
"1,1,2,2-tetrabromoethane",150,1.8928459,PP-LMW
"1,1,2,2-tetrabromoethane",145,1.46542676,PP-LMW
"1,1,2,2-tetrabromoethane",140,1.14836748,PP-LMW
"1,1,2,2-tetrabromoethane",135,0.90634941,PP-LMW
"1,1,2,2-tetrabromoethane",130,0.71816177,PP-LMW
"1,1,2,2-tetrabromoethane",125,0.57003297,PP-LMW
"1,1,2,2-tetrabromoethane",120,0.45249537,PP-LMW
"1,1,2,2-tetrabromoethane",115,0.35876703,PP-LMW
"1,1,2,2-tetrabromoethane",110,0.28382024,PP-LMW
"1,1,2,2-tetrabromoethane",105,0.22383461,PP-LMW
"1,1,2,2-tetrabromoethane",100,0.17584726,PP-LMW
"1,1,2,2-tetrabromoethane",95,0.13752262,PP-LMW
"1,1,2,2-tetrabromoethane",90,0.10699778,PP-LMW
"1,1,2,2-tetrabromoethane",85,0.08277284,PP-LMW
"1,1,2,2-tetrabromoethane",80,0.06363225,PP-LMW
"1,1,2,2-tetrabromoethane",75,0.04858643,PP-LMW
"1,1,2,2-tetrabromoethane",70,0.03682807,PP-LMW
"1,1,2,2-tetrabromoethane",65,0.02769809,PP-LMW
"1,1,2,2-tetrabromoethane",60,0.02065896,PP-LMW
"1,1,2,2-tetrabromoethane",55,0.01527334,PP-LMW
"1,1,2,2-tetrabromoethane",50,0.0111867,PP-LMW
"1,1,2,2-tetrabromoethane",45,0.008113,PP-LMW
"1,1,2,2-tetrabromoethane",40,0.00582285,PP-LMW
"1,1,2,2-tetrabromoethane",35,0.00413349,PP-LMW
"1,1,2,2-tetrabromoethane",30,0.00290046,PP-LMW
"1,1,2,2-tetrabromoethane",25,0.00201055,PP-LMW
"1,1,2,2-tetrachloroethane",160,63.67609047,PP-LMW
"1,1,2,2-tetrachloroethane",155,56.43191563,PP-LMW
"1,1,2,2-tetrachloroethane",150,49.02307362,PP-LMW
"1,1,2,2-tetrachloroethane",145,41.57832528,PP-LMW
"1,1,2,2-tetrachloroethane",140,34.35431534,PP-LMW
"1,1,2,2-tetrachloroethane",135,27.72052904,PP-LMW
"1,1,2,2-tetrachloroethane",130,22.01775913,PP-LMW
"1,1,2,2-tetrachloroethane",125,17.38345312,PP-LMW
"1,1,2,2-tetrachloroethane",120,13.73918445,PP-LMW
"1,1,2,2-tetrachloroethane",115,10.90533837,PP-LMW
"1,1,2,2-tetrachloroethane",110,8.69765161,PP-LMW
"1,1,2,2-tetrachloroethane",105,6.96535142,PP-LMW
"1,1,2,2-tetrachloroethane",100,5.59458623,PP-LMW
"1,1,2,2-tetrachloroethane",95,4.50138606,PP-LMW
"1,1,2,2-tetrachloroethane",90,3.62395848,PP-LMW
"1,1,2,2-tetrachloroethane",85,2.91629294,PP-LMW
"1,1,2,2-tetrachloroethane",80,2.34360409,PP-LMW
"1,1,2,2-tetrachloroethane",75,1.87924446,PP-LMW
"1,1,2,2-tetrachloroethane",70,1.50244222,PP-LMW
"1,1,2,2-tetrachloroethane",65,1.19681038,PP-LMW
"1,1,2,2-tetrachloroethane",60,0.94926115,PP-LMW
"1,1,2,2-tetrachloroethane",55,0.74922409,PP-LMW
