Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,50.52159518,PS
"1,1,1,2-tetrachloroethane",155,47.04920328,PS
"1,1,1,2-tetrachloroethane",150,43.56807713,PS
"1,1,1,2-tetrachloroethane",145,40.09434253,PS
"1,1,1,2-tetrachloroethane",140,36.64741748,PS
"1,1,1,2-tetrachloroethane",135,33.24970843,PS
"1,1,1,2-tetrachloroethane",130,29.92672861,PS
"1,1,1,2-tetrachloroethane",125,26.70680319,PS
"1,1,1,2-tetrachloroethane",120,23.61960375,PS
"1,1,1,2-tetrachloroethane",115,20.69473109,PS
"1,1,1,2-tetrachloroethane",110,17.95959329,PS
"1,1,1,2-tetrachloroethane",105,15.4371353,PS
"1,1,1,2-tetrachloroethane",100,13.14388645,PS
"1,1,1,2-tetrachloroethane",95,11.08864639,PS
"1,1,1,2-tetrachloroethane",90,9.27216041,PS
"1,1,1,2-tetrachloroethane",85,7.68773296,PS
"1,1,1,2-tetrachloroethane",80,6.3225832,PS
"1,1,1,2-tetrachloroethane",75,5.15957519,PS
"1,1,1,2-tetrachloroethane",70,4.17897789,PS
"1,1,1,2-tetrachloroethane",65,3.36000701,PS
"1,1,1,2-tetrachloroethane",60,2.68203684,PS
"1,1,1,2-tetrachloroethane",55,2.12543267,PS
"1,1,1,2-tetrachloroethane",50,1.67208707,PS
"1,1,1,2-tetrachloroethane",45,1.30569184,PS
"1,1,1,2-tetrachloroethane",40,1.01183125,PS
"1,1,1,2-tetrachloroethane",35,0.77795325,PS
"1,1,1,2-tetrachloroethane",30,0.59326541,PS
"1,1,1,2-tetrachloroethane",25,0.44858884,PS
"1,1,1-trichloroethane",160,58.09228745,PS
"1,1,1-trichloroethane",155,54.93377278,PS
"1,1,1-trichloroethane",150,51.72518861,PS
"1,1,1-trichloroethane",145,48.47510004,PS
"1,1,1-trichloroethane",140,45.19350382,PS
"1,1,1-trichloroethane",135,41.89341271,PS
"1,1,1-trichloroethane",130,38.59018174,PS
"1,1,1-trichloroethane",125,35.30253822,PS
"1,1,1-trichloroethane",120,32.05185274,PS
"1,1,1-trichloroethane",115,28.86278463,PS
"1,1,1-trichloroethane",110,25.76245441,PS
"1,1,1-trichloroethane",105,22.7797858,PS
"1,1,1-trichloroethane",100,19.94396905,PS
"1,1,1-trichloroethane",95,17.28257001,PS
"1,1,1-trichloroethane",90,14.81957582,PS
"1,1,1-trichloroethane",85,12.57350283,PS
"1,1,1-trichloroethane",80,10.55583768,PS
"1,1,1-trichloroethane",75,8.77038475,PS
"1,1,1-trichloroethane",70,7.21342938,PS
"1,1,1-trichloroethane",65,5.87470185,PS
"1,1,1-trichloroethane",60,4.73884889,PS
"1,1,1-trichloroethane",55,3.78712021,PS
"1,1,1-trichloroethane",50,2.99898633,PS
"1,1,1-trichloroethane",45,2.35351454,PS
"1,1,1-trichloroethane",40,1.83041344,PS
"1,1,1-trichloroethane",35,1.41074701,PS
"1,1,1-trichloroethane",30,1.07735913,PS
"1,1,1-trichloroethane",25,0.81507026,PS
"1,1,1-trifluoroethane",160,68.40213813,PS
"1,1,1-trifluoroethane",155,65.36468859,PS
"1,1,1-trifluoroethane",150,62.12158421,PS
"1,1,1-trifluoroethane",145,58.65231225,PS
"1,1,1-trifluoroethane",140,54.93500172,PS
"1,1,1-trifluoroethane",135,50.94887685,PS
"1,1,1-trifluoroethane",130,46.67907507,PS
"1,1,1-trifluoroethane",125,42.12438983,PS
"1,1,1-trifluoroethane",120,37.31229321,PS
"1,1,1-trifluoroethane",115,32.31961383,PS
"1,1,1-trifluoroethane",110,27.29216578,PS
"1,1,1-trifluoroethane",105,22.44232332,PS
"1,1,1-trifluoroethane",100,18.00267383,PS
"1,1,1-trifluoroethane",95,14.14976722,PS
"1,1,1-trifluoroethane",90,10.95453395,PS
"1,1,1-trifluoroethane",85,8.39119917,PS
"1,1,1-trifluoroethane",80,6.37886857,PS
"1,1,1-trifluoroethane",75,4.82024194,PS
"1,1,1-trifluoroethane",70,3.62318737,PS
"1,1,1-trifluoroethane",65,2.70921815,PS
"1,1,1-trifluoroethane",60,2.01470042,PS
"1,1,1-trifluoroethane",55,1.48934331,PS
"1,1,1-trifluoroethane",50,1.09384919,PS
"1,1,1-trifluoroethane",45,0.79770167,PS
"1,1,1-trifluoroethane",40,0.57726836,PS
"1,1,1-trifluoroethane",35,0.41428666,PS
"1,1,1-trifluoroethane",30,0.29467343,PS
"1,1,1-trifluoroethane",25,0.20760088,PS
"1,1,2,2-tetrabromoethane",160,31.29707627,PS
"1,1,2,2-tetrabromoethane",155,28.08882079,PS
"1,1,2,2-tetrabromoethane",150,25.01401152,PS
"1,1,2,2-tetrabromoethane",145,22.08376581,PS
"1,1,2,2-tetrabromoethane",140,19.31221265,PS
"1,1,2,2-tetrabromoethane",135,16.71636346,PS
"1,1,2,2-tetrabromoethane",130,14.31490209,PS
"1,1,2,2-tetrabromoethane",125,12.12612635,PS
"1,1,2,2-tetrabromoethane",120,10.16469161,PS
"1,1,2,2-tetrabromoethane",115,8.43830239,PS
"1,1,2,2-tetrabromoethane",110,6.94530379,PS
"1,1,2,2-tetrabromoethane",105,5.674819,PS
"1,1,2,2-tetrabromoethane",100,4.60831999,PS
"1,1,2,2-tetrabromoethane",95,3.72279212,PS
"1,1,2,2-tetrabromoethane",90,2.99370096,PS
"1,1,2,2-tetrabromoethane",85,2.39725447,PS
"1,1,2,2-tetrabromoethane",80,1.91176909,PS
"1,1,2,2-tetrabromoethane",75,1.51823103,PS
"1,1,2,2-tetrabromoethane",70,1.20040814,PS
"1,1,2,2-tetrabromoethane",65,0.94466426,PS
"1,1,2,2-tetrabromoethane",60,0.73964314,PS
"1,1,2,2-tetrabromoethane",55,0.57595011,PS
"1,1,2,2-tetrabromoethane",50,0.44583568,PS
"1,1,2,2-tetrabromoethane",45,0.34292011,PS
"1,1,2,2-tetrabromoethane",40,0.26195971,PS
"1,1,2,2-tetrabromoethane",35,0.19865007,PS
"1,1,2,2-tetrabromoethane",30,0.1494653,PS
"1,1,2,2-tetrabromoethane",25,0.11152419,PS
"1,1,2,2-tetrachloroethane",160,51.3533376,PS
"1,1,2,2-tetrachloroethane",155,48.02946632,PS
"1,1,2,2-tetrachloroethane",150,44.70888888,PS
"1,1,2,2-tetrachloroethane",145,41.40487293,PS
"1,1,2,2-tetrachloroethane",140,38.13262865,PS
"1,1,2,2-tetrachloroethane",135,34.90922422,PS
"1,1,2,2-tetrachloroethane",130,31.75312197,PS
"1,1,2,2-tetrachloroethane",125,28.68452494,PS
"1,1,2,2-tetrachloroethane",120,25.72433588,PS
"1,1,2,2-tetrachloroethane",115,22.89376424,PS
"1,1,2,2-tetrachloroethane",110,20.21303824,PS
"1,1,2,2-tetrachloroethane",105,17.70058372,PS
"1,1,2,2-tetrachloroethane",100,15.3717131,PS
"1,1,2,2-tetrachloroethane",95,13.23774143,PS
"1,1,2,2-tetrachloroethane",90,11.30515348,PS
"1,1,2,2-tetrachloroethane",85,9.57536788,PS
"1,1,2,2-tetrachloroethane",80,8.04483307,PS
"1,1,2,2-tetrachloroethane",75,6.70562743,PS
"1,1,2,2-tetrachloroethane",70,5.54628802,PS
"1,1,2,2-tetrachloroethane",65,4.55280047,PS
"1,1,2,2-tetrachloroethane",60,3.70960036,PS
"1,1,2,2-tetrachloroethane",55,3.00046639,PS
"1,1,2,2-tetrachloroethane",50,2.40926027,PS
"1,1,2,2-tetrachloroethane",45,1.92048325,PS
"1,1,2,2-tetrachloroethane",40,1.51965922,PS
"1,1,2,2-tetrachloroethane",35,1.19356778,PS
"1,1,2,2-tetrachloroethane",30,0.93035755,PS
"1,1,2,2-tetrachloroethane",25,0.71956991,PS
"1,1,2-trichloroethane",160,58.11067625,PS
"1,1,2-trichloroethane",155,54.96192092,PS
"1,1,2-trichloroethane",150,51.76516684,PS
"1,1,2-trichloroethane",145,48.52900756,PS
"1,1,2-trichloroethane",140,45.26411614,PS
"1,1,2-trichloroethane",135,41.98296296,PS
"1,1,2-trichloroethane",130,38.70113824,PS
"1,1,2-trichloroethane",125,35.43672864,PS
"1,1,2-trichloroethane",120,32.21096304,PS
"1,1,2-trichloroethane",115,29.04754915,PS
"1,1,2-trichloroethane",110,25.97243936,PS
"1,1,2-trichloroethane",105,23.01325811,PS
"1,1,2-trichloroethane",100,20.19780594,PS
"1,1,2-trichloroethane",95,17.55219581,PS
"1,1,2-trichloroethane",90,15.09933705,PS
"1,1,2-trichloroethane",85,12.857019,PS
"1,1,2-trichloroethane",80,10.83663365,PS
"1,1,2-trichloroethane",75,9.04241459,PS
"1,1,2-trichloroethane",70,7.47154669,PS
"1,1,2-trichloroethane",65,6.11493713,PS
"1,1,2-trichloroethane",60,4.95851818,PS
"1,1,2-trichloroethane",55,3.98476839,PS
"1,1,2-trichloroethane",50,3.17422705,PS
"1,1,2-trichloroethane",45,2.5068138,PS
"1,1,2-trichloroethane",40,1.96286512,PS
"1,1,2-trichloroethane",35,1.52386665,PS
"1,1,2-trichloroethane",30,1.17291046,PS
"1,1,2-trichloroethane",25,0.89492878,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",160,35.13658811,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",155,29.14134144,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",150,23.27553237,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",145,18.01915435,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",140,13.73084645,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",135,10.44399834,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",130,7.98319798,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",125,6.1408254,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",120,4.74885226,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",115,3.68591177,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",110,2.86657895,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",105,2.23042225,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",100,1.73394475,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",95,1.34527624,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",90,1.04058283,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",85,0.80175654,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",80,0.6148365,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",75,0.46892811,PS
