Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,1,2-tetrachloroethane",160,29.20130966,PVC
"1,1,1,2-tetrachloroethane",155,26.66448288,PVC
"1,1,1,2-tetrachloroethane",150,24.249402,PVC
"1,1,1,2-tetrachloroethane",145,21.96172474,PVC
"1,1,1,2-tetrachloroethane",140,19.80583345,PVC
"1,1,1,2-tetrachloroethane",135,17.78474782,PVC
"1,1,1,2-tetrachloroethane",130,15.90008013,PVC
"1,1,1,2-tetrachloroethane",125,14.15203482,PVC
"1,1,1,2-tetrachloroethane",120,12.53945149,PVC
"1,1,1,2-tetrachloroethane",115,11.05988778,PVC
"1,1,1,2-tetrachloroethane",110,9.70973332,PVC
"1,1,1,2-tetrachloroethane",105,8.48435521,PVC
"1,1,1,2-tetrachloroethane",100,7.37825382,PVC
"1,1,1,2-tetrachloroethane",95,6.38523216,PVC
"1,1,1,2-tetrachloroethane",90,5.49856553,PVC
"1,1,1,2-tetrachloroethane",85,4.71116544,PVC
"1,1,1,2-tetrachloroethane",80,4.01573331,PVC
"1,1,1,2-tetrachloroethane",75,3.40489972,PVC
"1,1,1,2-tetrachloroethane",70,2.87134678,PVC
"1,1,1,2-tetrachloroethane",65,2.40791258,PVC
"1,1,1,2-tetrachloroethane",60,2.00767732,PVC
"1,1,1,2-tetrachloroethane",55,1.66403186,PVC
"1,1,1,2-tetrachloroethane",50,1.37072974,PVC
"1,1,1,2-tetrachloroethane",45,1.12192426,PVC
"1,1,1,2-tetrachloroethane",40,0.91219222,PVC
"1,1,1,2-tetrachloroethane",35,0.73654621,PVC
"1,1,1,2-tetrachloroethane",30,0.59043712,PVC
"1,1,1,2-tetrachloroethane",25,0.46974853,PVC
"1,1,1-trichloroethane",160,33.812912,PVC
"1,1,1-trichloroethane",155,30.97129026,PVC
"1,1,1-trichloroethane",150,28.23315384,PVC
"1,1,1-trichloroethane",145,25.61129944,PVC
"1,1,1-trichloroethane",140,23.11711731,PVC
"1,1,1-trichloroethane",135,20.76022898,PVC
"1,1,1-trichloroethane",130,18.54819822,PVC
"1,1,1-trichloroethane",125,16.48633776,PVC
"1,1,1-trichloroethane",120,14.57762422,PVC
"1,1,1-trichloroethane",115,12.82272283,PVC
"1,1,1-trichloroethane",110,11.22011248,PVC
"1,1,1-trichloroethane",105,9.7662936,PVC
"1,1,1-trichloroethane",100,8.45605615,PVC
"1,1,1-trichloroethane",95,7.28278315,PVC
"1,1,1-trichloroethane",90,6.23876714,PVC
"1,1,1-trichloroethane",85,5.31551982,PVC
"1,1,1-trichloroethane",80,4.50406042,PVC
"1,1,1-trichloroethane",75,3.79517265,PVC
"1,1,1-trichloroethane",70,3.17962504,PVC
"1,1,1-trichloroethane",65,2.64835278,PVC
"1,1,1-trichloroethane",60,2.19260193,PVC
"1,1,1-trichloroethane",55,1.80403887,PVC
"1,1,1-trichloroethane",50,1.4748288,PVC
"1,1,1-trichloroethane",45,1.19768748,PVC
"1,1,1-trichloroethane",40,0.96591059,PVC
"1,1,1-trichloroethane",35,0.77338471,PVC
"1,1,1-trichloroethane",30,0.61458415,PVC
"1,1,1-trichloroethane",25,0.48455547,PVC
"1,1,1-trifluoroethane",160,39.47601574,PVC
"1,1,1-trifluoroethane",155,35.59321056,PVC
"1,1,1-trifluoroethane",150,31.79473789,PVC
"1,1,1-trifluoroethane",145,28.1415079,PVC
"1,1,1-trifluoroethane",140,24.68907809,PVC
"1,1,1-trifluoroethane",135,21.48201165,PVC
"1,1,1-trifluoroethane",130,18.55037836,PVC
"1,1,1-trifluoroethane",125,15.90892745,PVC
"1,1,1-trifluoroethane",120,13.55887281,PVC
"1,1,1-trifluoroethane",115,11.49042417,PVC
"1,1,1-trifluoroethane",110,9.68641834,PVC
"1,1,1-trifluoroethane",105,8.12523174,PVC
"1,1,1-trifluoroethane",100,6.78325333,PVC
"1,1,1-trifluoroethane",95,5.63648175,PVC
"1,1,1-trifluoroethane",90,4.66175773,PVC
"1,1,1-trifluoroethane",85,3.83739536,PVC
"1,1,1-trifluoroethane",80,3.14354747,PVC
"1,1,1-trifluoroethane",75,2.56229853,PVC
"1,1,1-trifluoroethane",70,2.07768638,PVC
"1,1,1-trifluoroethane",65,1.67560439,PVC
"1,1,1-trifluoroethane",60,1.34367078,PVC
"1,1,1-trifluoroethane",55,1.07108334,PVC
"1,1,1-trifluoroethane",50,0.8484596,PVC
"1,1,1-trifluoroethane",45,0.66769255,PVC
"1,1,1-trifluoroethane",40,0.5218077,PVC
"1,1,1-trifluoroethane",35,0.40483244,PVC
"1,1,1-trifluoroethane",30,0.31167659,PVC
"1,1,1-trifluoroethane",25,0.238024,PVC
"1,1,2,2-tetrabromoethane",160,7.53224777,PVC
"1,1,2,2-tetrabromoethane",155,6.39204328,PVC
"1,1,2,2-tetrabromoethane",150,5.42046162,PVC
"1,1,2,2-tetrabromoethane",145,4.59268157,PVC
"1,1,2,2-tetrabromoethane",140,3.88732005,PVC
"1,1,2,2-tetrabromoethane",135,3.28616966,PVC
"1,1,2,2-tetrabromoethane",130,2.77375736,PVC
"1,1,2,2-tetrabromoethane",125,2.33701841,PVC
"1,1,2,2-tetrabromoethane",120,1.96492365,PVC
"1,1,2,2-tetrabromoethane",115,1.64811738,PVC
"1,1,2,2-tetrabromoethane",110,1.37866653,PVC
"1,1,2,2-tetrabromoethane",105,1.1498149,PVC
"1,1,2,2-tetrabromoethane",100,0.95579504,PVC
"1,1,2,2-tetrabromoethane",95,0.79165911,PVC
"1,1,2,2-tetrabromoethane",90,0.65315654,PVC
"1,1,2,2-tetrabromoethane",85,0.53662425,PVC
"1,1,2,2-tetrabromoethane",80,0.43889888,PVC
"1,1,2,2-tetrabromoethane",75,0.35724429,PVC
"1,1,2,2-tetrabromoethane",70,0.28929218,PVC
"1,1,2,2-tetrabromoethane",65,0.23299111,PVC
"1,1,2,2-tetrabromoethane",60,0.18656538,PVC
"1,1,2,2-tetrabromoethane",55,0.14847925,PVC
"1,1,2,2-tetrabromoethane",50,0.11740675,PVC
"1,1,2,2-tetrabromoethane",45,0.09220564,PVC
"1,1,2,2-tetrabromoethane",40,0.07189484,PVC
"1,1,2,2-tetrabromoethane",35,0.05563471,PVC
"1,1,2,2-tetrabromoethane",30,0.04270974,PVC
"1,1,2,2-tetrabromoethane",25,0.03251303,PVC
"1,1,2,2-tetrachloroethane",160,31.65927618,PVC
"1,1,2,2-tetrachloroethane",155,29.205712,PVC
"1,1,2,2-tetrachloroethane",150,26.85084268,PVC
"1,1,2,2-tetrachloroethane",145,24.59909359,PVC
"1,1,2,2-tetrachloroethane",140,22.45412152,PVC
"1,1,2,2-tetrachloroethane",135,20.41898698,PVC
"1,1,2,2-tetrachloroethane",130,18.49604064,PVC
"1,1,2,2-tetrachloroethane",125,16.6868811,PVC
"1,1,2,2-tetrachloroethane",120,14.9923239,PVC
"1,1,2,2-tetrachloroethane",115,13.41238352,PVC
"1,1,2,2-tetrachloroethane",110,11.94627012,PVC
"1,1,2,2-tetrachloroethane",105,10.59241157,PVC
"1,1,2,2-tetrachloroethane",100,9.348439,PVC
"1,1,2,2-tetrachloroethane",95,8.21130401,PVC
"1,1,2,2-tetrachloroethane",90,7.17728204,PVC
"1,1,2,2-tetrachloroethane",85,6.24206169,PVC
"1,1,2,2-tetrachloroethane",80,5.40082802,PVC
"1,1,2,2-tetrachloroethane",75,4.64835398,PVC
"1,1,2,2-tetrachloroethane",70,3.97909665,PVC
"1,1,2,2-tetrachloroethane",65,3.3872938,PVC
"1,1,2,2-tetrachloroethane",60,2.86706627,PVC
"1,1,2,2-tetrachloroethane",55,2.41249924,PVC
"1,1,2,2-tetrachloroethane",50,2.01773552,PVC
"1,1,2,2-tetrachloroethane",45,1.67704879,PVC
"1,1,2,2-tetrachloroethane",40,1.38490933,PVC
"1,1,2,2-tetrachloroethane",35,1.13603861,PVC
"1,1,2,2-tetrachloroethane",30,0.92545263,PVC
"1,1,2,2-tetrachloroethane",25,0.74849404,PVC
"1,1,2-trichloroethane",160,37.85530196,PVC
"1,1,2-trichloroethane",155,35.22880777,PVC
"1,1,2-trichloroethane",150,32.66965601,PVC
"1,1,2-trichloroethane",145,30.18537049,PVC
"1,1,2-trichloroethane",140,27.78322038,PVC
