Solvent,Temperature (°C),Solubility (%)
"1,1,1,2-tetrachloroethane",160,5.14127404
"1,1,1,2-tetrachloroethane",155,4.28230378
"1,1,1,2-tetrachloroethane",150,3.54748493
"1,1,1,2-tetrachloroethane",145,2.92301785
"1,1,1,2-tetrachloroethane",140,2.39574329
"1,1,1,2-tetrachloroethane",135,1.95332465
"1,1,1,2-tetrachloroethane",130,1.58437313
"1,1,1,2-tetrachloroethane",125,1.27852403
"1,1,1,2-tetrachloroethane",120,1.02646069
"1,1,1,2-tetrachloroethane",115,0.81990958
"1,1,1,2-tetrachloroethane",110,0.65160147
"1,1,1,2-tetrachloroethane",105,0.51521290
"1,1,1,2-tetrachloroethane",100,0.40529382
"1,1,1,2-tetrachloroethane",95,0.31718722
"1,1,1,2-tetrachloroethane",90,0.24694583
"1,1,1,2-tetrachloroethane",85,0.19124935
"1,1,1,2-tetrachloroethane",80,0.14732501
"1,1,1,2-tetrachloroethane",75,0.11287338
"1,1,1,2-tetrachloroethane",70,0.08600025
"1,1,1,2-tetrachloroethane",65,0.06515529
"1,1,1,2-tetrachloroethane",60,0.04907773
"1,1,1,2-tetrachloroethane",55,0.03674862
"1,1,1,2-tetrachloroethane",50,0.02734956
"1,1,1,2-tetrachloroethane",45,0.02022726
"1,1,1,2-tetrachloroethane",40,0.01486344
"1,1,1,2-tetrachloroethane",35,0.01084948
"1,1,1,2-tetrachloroethane",30,0.00786520
"1,1,1,2-tetrachloroethane",25,0.00566133
"1,1,1-trichloroethane",160,2.98406341
"1,1,1-trichloroethane",155,2.33473343
"1,1,1-trichloroethane",150,1.81529981
"1,1,1-trichloroethane",145,1.40246242
"1,1,1-trichloroethane",140,1.07642689
"1,1,1-trichloroethane",135,0.82058416
"1,1,1-trichloroethane",130,0.62112953
"1,1,1-trichloroethane",125,0.46668291
"1,1,1-trichloroethane",120,0.34792842
"1,1,1-trichloroethane",115,0.25729004
"1,1,1-trichloroethane",110,0.18864627
"1,1,1-trichloroethane",105,0.13708302
"1,1,1-trichloroethane",100,0.09868212
"1,1,1-trichloroethane",95,0.07034172
"1,1,1-trichloroethane",90,0.04962475
"1,1,1-trichloroethane",85,0.03463190
"1,1,1-trichloroethane",80,0.02389562
"1,1,1-trichloroethane",75,0.01629242
"1,1,1-trichloroethane",70,0.01097052
"1,1,1-trichloroethane",65,0.00729088
"1,1,1-trichloroethane",60,0.00477935
"1,1,1-trichloroethane",55,0.00308818
"1,1,1-trichloroethane",50,0.00196551
"1,1,1-trichloroethane",45,0.00123131
"1,1,1-trichloroethane",40,0.00075864
"1,1,1-trichloroethane",35,0.00045933
"1,1,1-trichloroethane",30,0.00027306
"1,1,1-trichloroethane",25,0.00015923
"1,1,1-trifluoroethane",160,8.14785818
"1,1,1-trifluoroethane",155,6.48687208
"1,1,1-trifluoroethane",150,5.10951040
"1,1,1-trifluoroethane",145,3.98446127
"1,1,1-trifluoroethane",140,3.07783945
"1,1,1-trifluoroethane",135,2.35604918
"1,1,1-trifluoroethane",130,1.78770889
"1,1,1-trifluoroethane",125,1.34473339
"1,1,1-trifluoroethane",120,1.00277488
