Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Benzene,C1=CC=CC=C1,71-43-2,4.675,0.6816,0,high-fidelity RED
5Α(H)-Androstane,[C]12(CC[C@H]3[C@H]([C@@H]1CCC2)CC[C@@H]4[C]3(C)CCCC4)C,438-22-2,5.402,1.051,0.690108687092113,low-fidelity RED
β-Cholesterol,[C@H](C)([C@@H]4[C]1(C)[C@H]([C@H]3[C@H](CC1)[C]2(CC[C@@H](CC2=CC3)O)C)CC4)CCCC(C)C,57-88-5,7.58,1.609,0.928035559663529,low-fidelity RED
Sitosterol,[C@H](CC[C@@H](CC)C(C)C)(C)[C@@H]3[C]2(CC[C@@H]1[C]4(C(=CC[C@H]1[C@@H]2CC3)C[C@H](CC4)O)C)C,83-46-5,7.763,1.622,0.8276472678623421,low-fidelity RED
"1H-Indene, Octahydo-, Tans-",[C@H]12CCCC[C@@H]1CCC2,3296-50-2,5.345,0.8216,0.8463155439905372,low-fidelity RED
Cis-Hexahydroindane,[C@H]12CCCC[C@H]1CCC2,4551-51-3,5.345,0.8216,0.8463155439905372,low-fidelity RED
Trans-Decahydronaphthalene,[H][C]12[C](CCCC2)([H])CCCC1,493-02-7,5.294,0.7452,0.5385164807134502,high-fidelity RED
Triphenylboron,B(C2=CC=CC=C2)(C3=CC=CC=C3)C1=CC=CC=C1,960-71-4,6.161,0.7346,0.388104367406501,low-fidelity RED
Bromodiphenylmethane,BrC(C2=CC=CC=C2)C1=CC=CC=C1,776-74-9,5.983,0.933,0.9154916711800277,low-fidelity RED
o-Bromocumene,BrC1=C(C=CC=C1)C(C)C,7073-94-1,6.56,1.02,0.8860022573334673,low-fidelity RED
"Cyclohexane, Bromo-",BrC1CCCCC1,108-85-0,5.295,0.8447,0.8806957476904262,low-fidelity RED
(2-Bromoethyl)Cyclohexane,BrCCC(CCC1)CC1,1647-26-3,5.146,0.9094,0.9031195934094222,low-fidelity RED
Trans-1-Propenylbenzene,C(/C1=CC=CC=C1)=C/C,873-66-5,5.791,0.9669,0.7262919523166973,low-fidelity RED
"3,4-Dimethylstyrene",C(/c1cc(c(cc1)C)C)=C,27831-13-6,6.045,1.09,0.8280247580839593,low-fidelity RED
"2,4-Diphenyl-4-Methylpentene-1",C(/c1ccccc1)(=C)CC(c2ccccc2)(C)C,6362-80-7,6.691,1.158,0.5590169943749475,low-fidelity RED
"Benzene, Diethenyl-",C(/c1ccccc1\C=C)=C,1321-74-0,6.504,1.034,0.7454025757937783,low-fidelity RED
"Benzene, Ethenylethyl-",C(/c1ccccc1CC)=C,28106-30-1,6.994,1.161,0.7284401142166724,low-fidelity RED
(E)-α-Bisabolene,C(=C(/C1C\C=C(/CC1)C)C)\C\C=C(/C)C,25532-79-0,6.372,1.174,0.7766112283504526,low-fidelity RED
Squalene,C(=C\CCC(=CCCC(=CCCC=C(C)CCC=C(C)CC\C=C(/C)C)C)C)(\C)C,111-02-4,6.685,1.021,0.7850159234053785,low-fidelity RED
5-Ethylidene-2-Norbornene,C(=C1/CC2C=C/C1C2)\C,16219-75-3,5.662,1.226,0.868907359849138,low-fidelity RED
