Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Hexane,CCCCCC,110-54-3,5.474,0.6522,0,high-fidelity RED
"1,Trans-2,Cis-3,Trans-4-Tetramethylcyclopentane",C([C@H](C)[C@H]1C)[C@H](C)[C@H]1C,2532-67-4,5.627,0.864,0.20310096011589918,low-fidelity RED
"1,1,Cis-3,Cis-4-Tetramethylcyclopentane",C([C@H](C)[C@H]1C)C(C1)(C)C,20309-77-7,5.562,1.023,0.30207614933986415,low-fidelity RED
1-Methyl-Trans-2-Ethylcyclopropane,C([C@H]1C)[C@H]1CC,19781-69-2,5.548,0.8909,0.30207614933986415,low-fidelity RED
2-Methyl-Trans-3-Heptene,C(/CCC)=C/C(C)C,692-96-6,5.666,0.9605,0.7474958193863024,low-fidelity RED
"2,2,4,4,6,6 Pentamethyl-3-Heptene",C(=C(/CC(C)(C)C)C)\C(C)(C)C,123-48-8,5.967,0.9801,0.23184046238739256,low-fidelity RED
"3,4,4-Trimethyl-Trans-2-Pentene",C(=C(C)C(C)(C)C)C,39761-57-4,5.691,0.7828,0.5031152949374527,low-fidelity RED
Perfluoro Ethylene (Tetrafluoro Ethylene,C(=C(F)F)(F)F,116-14-3,5.632,0.7824,0.09999999999999964,high-fidelity RED
2-Butyl-1-Decene,C(=C)(\CCCCCCCC)CCCC,51655-65-3,6.202,0.9313,0.5618051263561059,low-fidelity RED
"2,4,6 Trimethyl-3-Heptene",C(=C/C(C)CC(C)C)(\C)C,126690-66-2,6.365,0.8503,0.6224949798994364,low-fidelity RED
Trans-4-Undecene,C(=C/CCC)/CCCCCC,693-62-9,5.508,0.8479,0.8923284148787377,low-fidelity RED
Trans-2-Pentadecene,C(=C/CCCCCCCCCCCC)\C,74392-36-2,5.821,0.9439,0.82802475808396,low-fidelity RED
Trans-2-Eicosene,C(=C/CCCCCCCCCCCCCCCCC)\C,42448-85-1,5.821,0.9439,0.7762087348130017,low-fidelity RED
Cis-4-Undecene,C(=CCCCCCC)CCC,821-98-7,5.508,0.8479,0.8923284148787377,low-fidelity RED
"2,2,4,4,6,8,8-Heptamethylnonane",C(C)(C)(C)CC(C)(C)CC(CC(C)(C)C)C,4/9/90 0:00,5.735,0.8175,0.06123724356957931,low-fidelity RED
"2,2,5,5-Tetramethyl-3-Hexanol",C(C)(C)(CC(O)C(C)(C)C)C,55073-86-4,6.665,0.8993,0.5777110004145671,low-fidelity RED
"3,6-Diethyloctane",C(C)C(CC)CCC(CC)CC,62183-94-2,5.921,0.8206,0.30207614933986415,low-fidelity RED
1-Methyl-Cis-3-Ethylcyclohexane,C(C[C@H](C1)C)C[C@@H]1CC,19489-10-2,5.485,0.9924,0.5511351921262149,low-fidelity RED
1-Methyl-Trans-3-Ethylcyclohexane,C(C[C@H](C1)C)C[C@H]1CC,4926-76-5,5.485,0.9924,0.5511351921262149,low-fidelity RED
1-Methyl-Cis-3-Ethylcyclopentane,C(C[C@H]1CC)[C@@H](C1)C,2613-66-3,5.478,0.9921,0.5012484413940855,low-fidelity RED
1-Methyl-Trans-3-Ethylcyclopentane,C(C[C@H]1CC)[C@H](C1)C,2613-65-2,5.478,0.9921,0.5012484413940855,low-fidelity RED
1-Methyl-Cis-3-Propylcyclopentane,C(C[C@H]1CCC)[C@@H](C1)C,4/1/43 0:00,5.546,1.101,0.5511351921262149,low-fidelity RED
1-Methyl-Trans-3-Propylcyclopentane,C(C[C@H]1CCC)[C@H](C1)C,2443-03-0,5.546,1.101,0.5511351921262149,low-fidelity RED
1-Methyl-1-Ethylcyclopropane,C(C1)C1(C)CC,53778-43-1,5.52,1.026,0.5511351921262149,low-fidelity RED
"1,4 Diisopropyl Cyclohexane",C(C1CCC(C(C)C)CC1)(C)C,22907-72-8,5.69,0.9218,0.6010407640085659,low-fidelity RED
"2,6,10-Trimethyl Dodecane",C(CC(CCCC(CC)C)C)CC(C)C,3891-98-3,5.701,0.9358,0.35178118198675684,low-fidelity RED
1-Methyl-Cis-2-Ethylcyclohexane,C(CC[C@H]1CC)C[C@@H]1C,4923-77-7,5.643,0.9361,0.5012484413940855,low-fidelity RED
1-Methyl-Trans-2-Ethylcyclohexane,C(CC[C@H]1CC)C[C@H]1C,4923-78-8,5.643,0.9361,0.5012484413940855,low-fidelity RED
"1,1-Diethylcyclopentane",C(CC1)CC1(CC)CC,2721-38-2,5.546,0.9913,0.6010407640085659,low-fidelity RED
Tert-Butylcyclopentane,C(CC1)CC1C(C)(C)C,3875-52-3,5.513,0.8943,0.30207614933986415,low-fidelity RED
sec-Butylcyclopentane,C(CC1)CC1C(C)CC,4850-32-2,5.886,0.9974,0.5511351921262149,low-fidelity RED
"2,6-Dimethyl Undecane",C(CCC(CCCC(C)C)C)CC,17301-23-4,5.7,0.7968,0.35178118198675684,low-fidelity RED
Hexadecylcyclohexane,C(CCC1CCCCCCCCCCCCCCCC)CC1,6812-38-0,5.517,0.8841,0.6010407640085659,low-fidelity RED
Heptadecylbenzene,c(ccc1CCCCCCCCCCCCCCCCC)cc1,14752-75-1,6.257,0.8937,0.9334077351297233,low-fidelity RED
"2,4,4-Trimethyl-1-Pentene",C[C](C)(C)CC(C)=C,107-39-1,5.874,0.8598,0.45620718977236663,low-fidelity RED
Bigarade Oxide,C[C@@H]1C[C@H]2CC(CO[C@@H]2C[C@@H]1C)(C)C,72429-08-4,5.557,1.191,0.7956915231419776,low-fidelity RED
β-Gurjunene,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)[C@H]3[C@@H]1CCC3=C,73464-47-8,6.184,1.251,0.7558108228915489,low-fidelity RED
α-Gurjunene,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)C3=C(CCC13)C,489-40-7,6.299,1.356,0.9646890690787374,low-fidelity RED
β-Cubebene,C[C@@H]1CC[C@H]([C@H]2[C]13[C@@H]2C(=C)CC3)C(C)C,13744-15-5,6.335,1.29,0.9552486587271395,low-fidelity RED
Viridiflorene,C[C@@H]1CCC2=C(CC[C@@H]3[C@H]([C@H]12)C3(C)C)C,21747-46-6,6.255,1.4,0.9646890690787374,low-fidelity RED
1-Methyl-Cis-2-Ethylcyclopropane,C[C@H]1[C@@H](CC)C1,19781-68-1,5.548,0.8909,0.30207614933986415,low-fidelity RED
1-Methyl-Trans-2-Ethylcyclopentane,C[C@H]1[C@H](CC)CCC1,930-90-5,5.558,1.003,0.5012484413940855,low-fidelity RED
Cadinene,C[C@H]1CC[C@H]([C@H]2[C@H]1C=C[C@@H](C2)C)C(C)C,29350-73-0,5.678,1.177,0.8989577298182599,low-fidelity RED
1-Methyl-Cis-2-Ethylcyclopentane,C[C@H]1CCC[C@H]1CC,930-89-2,5.558,1.003,0.5012484413940855,low-fidelity RED
Alloaromadendrene,C[C@H]1CCC2C1[C@H]3[C@H](C3(C)C)CCC2=C,25246-27-9,5.538,1.286,0.7558108228915489,low-fidelity RED
"2,3-Dimethyl-2-Butene",C/C(C)=C(C)/C,563-79-1,5.729,0.7421,0.8692669325356855,low-fidelity RED
"2,3,4-Trimethyl-2-Pentene",C/C(C)=C(C)/C(C)C,565-77-5,6.083,0.852,0.6025985396596976,low-fidelity RED
"2,3-Dimethyl-2-Hexene",C/C(C)=C(C)/CCC,7145-20-2,6.066,0.7873,0.729725975966321,low-fidelity RED
2-Methyl-3-Ethyl-2-Pentene,C/C(C)=C(CC)/CC,19780-67-7,5.785,0.7865,0.7365459931328118,low-fidelity RED
"2,4,4-Trimethyl-2-Pentene",C/C(C)=C/C(C)(C)C,107-40-4,5.749,1.031,0.5031152949374527,low-fidelity RED
2-Methyl-2-Hexene,C/C(C)=C/CCC,2738-19-4,6.029,0.9387,0.8459462157844314,low-fidelity RED
2-Methyl-2-Butene,C/C(C)=C\C,513-35-9,5.87,0.8008,0.8863548950617919,high-fidelity RED
2-Methyl-2-Pentene,C/C(C)=C\CC,625-27-4,5.895,0.927,0.95818839483684,low-fidelity RED
3-Methyl-Cis-3-Hexene,C/C(CC)=C/CC,4914-89-0,5.815,0.9028,0.8547660498639378,low-fidelity RED
3-Methyl-Trans-3-Hexene,C/C(CC)=C\CC,3899-36-3,5.815,0.9028,0.8547660498639378,low-fidelity RED
Trans-2-Dodecene,C/C=C/CCCCCCCCC,7206-13-5,5.821,0.9439,0.8923284148787377,low-fidelity RED
5-Methyl-Cis-2-Hexene,C/C=C\CC(C)C,13151-17-2,5.733,1.03,0.8400148808205721,low-fidelity RED
Cis-2-Heptene,C/C=C\CCCC,6443-92-1,5.683,1.002,0.95818839483684,low-fidelity RED
