Solvent,Temperature (°C),Solubility (%)
dihydro-5-methyl-2(3h)-furanone,160,12.92074732
dihydro-5-methyl-2(3h)-furanone,155,10.48450856
dihydro-5-methyl-2(3h)-furanone,150,8.42275649
dihydro-5-methyl-2(3h)-furanone,145,6.70154644
dihydro-5-methyl-2(3h)-furanone,140,5.28277587
dihydro-5-methyl-2(3h)-furanone,135,4.12709599
dihydro-5-methyl-2(3h)-furanone,130,3.19612986
dihydro-5-methyl-2(3h)-furanone,125,2.45400417
dihydro-5-methyl-2(3h)-furanone,120,1.86827707
dihydro-5-methyl-2(3h)-furanone,115,1.41038485
dihydro-5-methyl-2(3h)-furanone,110,1.05572707
dihydro-5-methyl-2(3h)-furanone,105,0.78350969
dihydro-5-methyl-2(3h)-furanone,100,0.57643754
dihydro-5-methyl-2(3h)-furanone,95,0.42032867
dihydro-5-methyl-2(3h)-furanone,90,0.30370166
dihydro-5-methyl-2(3h)-furanone,85,0.21736997
dihydro-5-methyl-2(3h)-furanone,80,0.15406370
dihydro-5-methyl-2(3h)-furanone,75,0.10809009
dihydro-5-methyl-2(3h)-furanone,70,0.07503700
dihydro-5-methyl-2(3h)-furanone,65,0.05151944
dihydro-5-methyl-2(3h)-furanone,60,0.03496697
dihydro-5-methyl-2(3h)-furanone,55,0.02344790
dihydro-5-methyl-2(3h)-furanone,50,0.01552598
dihydro-5-methyl-2(3h)-furanone,45,0.01014505
dihydro-5-methyl-2(3h)-furanone,40,0.00653734
dihydro-5-methyl-2(3h)-furanone,35,0.00415136
dihydro-5-methyl-2(3h)-furanone,30,0.00259592
dihydro-5-methyl-2(3h)-furanone,25,0.00159716
