solvent_name,cas,resolved,resolution_method,thermosteam_id
"1,1,1,2-Tetrachloroethane",630-20-6,True,CAS,630-20-6
"1,1,1-Trichloroethane",71-55-6,True,CAS,71-55-6
"1,1,1-Trifluoroethane",420-46-2,True,CAS,420-46-2
"1,1,2,2-Tetrabromoethane",79-27-6,True,CAS,79-27-6
"1,1,2,2-Tetrachloroethane",79-34-5,True,CAS,79-34-5
"1,1,2-Trichloroethane",79-00-5,True,CAS,79-00-5
"1,1,2-Trichlorotrifluoroethane (Freon113)",76-13-1,True,CAS,76-13-1
"1,1,3,3-Tetramethoxypropane",102-52-3,True,CAS,102-52-3
"1,1-Dibromoethane",557-91-5,True,CAS,557-91-5
"1,1-Dichloro-1-Nitroethane",594-72-9,True,CAS,594-72-9
"1,1-Dichloroacetone",513-88-2,True,CAS,513-88-2
"1,1-Dichloroethane",75-34-3,True,CAS,75-34-3
"1,1-Dichloroethylene",75-35-4,True,CAS,75-35-4
"1,1-Dichloropropane",78-99-9,True,CAS,78-99-9
"1,1-Dichloropropene",563-58-6,True,CAS,563-58-6
"1,1-Diethoxy Ethane",105-57-7,True,CAS,105-57-7
"1,1-Difluoroethane",75-37-6,True,CAS,75-37-6
"1,1-Difluoroethylene",75-38-7,True,CAS,75-38-7
"1,1-Dimethoxy Ethane",534-15-6,True,CAS,534-15-6
"1,1-Dimethyl Hydrazine",57-14-7,True,CAS,57-14-7
"1,2,3,4-Tetramethylbenzene",488-23-3,True,CAS,488-23-3
"1,2,3,5-Tetramethylbenzene",527-53-7,True,CAS,527-53-7
"1,2,3-Benzotriazole",95-14-7,True,CAS,95-14-7
"1,2,3-Triazole",288-36-8,True,CAS,288-36-8
"1,2,3-Trichloro Propene",96-19-5,True,CAS,96-19-5
"1,2,3-Trichloropropane",96-18-4,True,CAS,96-18-4
"1,2,4,5-Tetrachlorobenzene",95-94-3,True,CAS,95-94-3
"1,2,4-Trichlorobenzene",120-82-1,True,CAS,120-82-1
"1,2-Butadiene",590-19-2,True,CAS,590-19-2
"1,2-Chlorobromoethylene",3018-09-5,True,CAS,3018-09-5
"1,2-Cyclohexanedione",765-87-7,True,CAS,765-87-7
"1,2-Dibromoethylene",540-49-8,True,CAS,540-49-8
"1,2-Dichloroethylene (Cis)",156-59-2,True,CAS,156-59-2
"1,2-Dichloropropane",78-87-5,True,CAS,78-87-5
"1,2-Dichlorotetrafluoroethane (Freon 114)",76-14-2,True,CAS,76-14-2
"1,2-Diethyl Benzene",135-01-3,True,CAS,135-01-3
"1,2-Dihydroxybenzene (Catechol)",120-80-9,True,CAS,120-80-9
"1,2-Dimethoxybenzene",91-16-7,True,CAS,91-16-7
"1,2-Dinitrobenzene",528-29-0,True,CAS,528-29-0
"1,2-Ethane Dithiol",540-63-6,True,CAS,540-63-6
"1,2-Methylenedioxybenzene (G.C.)",274-09-9,True,CAS,274-09-9
"1,2-Propadiene (Allene)",463-49-0,True,CAS,463-49-0
"1,3,5-Trioxane",110-88-3,True,CAS,110-88-3
"1,3-Benzenediol",108-46-3,True,CAS,108-46-3
"1,3-Bis(Trifluoromethyl)Benzene",402-31-3,True,CAS,402-31-3
"1,3-Butadiene",106-99-0,True,CAS,106-99-0
"1,3-Butadiene-1-Chloro",627-22-5,True,CAS,627-22-5
"1,3-Butanediol",107-88-0,True,CAS,107-88-0
